Dataset,Split,Model,Component,antonym_r
naidv1,train,GPT,Quality & Reliability,-0.884
naidv1,train,GPT,Accessibility & Understandability,-0.873
naidv1,train,GPT,Novelty & Engagement,-0.737
naidv1,train,Deepseek,Quality & Reliability,-0.899
naidv1,train,Deepseek,Accessibility & Understandability,-0.891
naidv1,train,Deepseek,Novelty & Engagement,-0.819
naidv1,train,Llama-3.1,Quality & Reliability,-0.812
naidv1,train,Llama-3.1,Accessibility & Understandability,-0.666
naidv1,train,Llama-3.1,Novelty & Engagement,0.323
naidv1,train,Llama-3.3,Quality & Reliability,-0.498
naidv1,train,Llama-3.3,Accessibility & Understandability,-0.843
naidv1,train,Llama-3.3,Novelty & Engagement,-0.666
naidv1,test,GPT,Quality & Reliability,-0.876
naidv1,test,GPT,Accessibility & Understandability,-0.879
naidv1,test,GPT,Novelty & Engagement,-0.715
naidv1,test,Deepseek,Quality & Reliability,-0.906
naidv1,test,Deepseek,Accessibility & Understandability,-0.844
naidv1,test,Deepseek,Novelty & Engagement,-0.922
naidv1,test,Llama-3.1,Quality & Reliability,-0.754
naidv1,test,Llama-3.1,Accessibility & Understandability,-0.321
naidv1,test,Llama-3.1,Novelty & Engagement,-0.116
naidv1,test,Llama-3.3,Quality & Reliability,-0.531
naidv1,test,Llama-3.3,Accessibility & Understandability,-0.873
naidv1,test,Llama-3.3,Novelty & Engagement,-0.674
naidv2,train,GPT,Quality & Reliability,-0.859
naidv2,train,GPT,Accessibility & Understandability,-0.855
naidv2,train,GPT,Novelty & Engagement,-0.88
naidv2,train,Deepseek,Quality & Reliability,-0.911
naidv2,train,Deepseek,Accessibility & Understandability,-0.943
naidv2,train,Deepseek,Novelty & Engagement,-0.88
naidv2,train,Llama-3.1,Quality & Reliability,-0.672
naidv2,train,Llama-3.1,Accessibility & Understandability,-0.747
naidv2,train,Llama-3.1,Novelty & Engagement,0.294
naidv2,train,Llama-3.3,Quality & Reliability,-0.528
naidv2,train,Llama-3.3,Accessibility & Understandability,-0.865
naidv2,train,Llama-3.3,Novelty & Engagement,-0.737
naidv2,test,GPT,Quality & Reliability,-0.822
naidv2,test,GPT,Accessibility & Understandability,-0.854
naidv2,test,GPT,Novelty & Engagement,-0.891
naidv2,test,Deepseek,Quality & Reliability,-0.909
naidv2,test,Deepseek,Accessibility & Understandability,-0.906
naidv2,test,Deepseek,Novelty & Engagement,-0.934
naidv2,test,Llama-3.1,Quality & Reliability,-0.74
naidv2,test,Llama-3.1,Accessibility & Understandability,-0.378
naidv2,test,Llama-3.1,Novelty & Engagement,-0.246
naidv2,test,Llama-3.3,Quality & Reliability,-0.757
naidv2,test,Llama-3.3,Accessibility & Understandability,-0.905
naidv2,test,Llama-3.3,Novelty & Engagement,-0.757
