No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,53.4,9.49,-0.061,0.337,0.731
2,Controversial,18.12,11.4,-0.385,0.193,0.574
3,Rigorous,76.94,6.54,0.709,-0.438,0.341
4,Innovative,73.59,10.04,0.193,-0.298,0.769
5,Accessible,62.15,11.26,0.031,0.893,0.075
6,Methodical,78.96,6.0,0.744,-0.233,0.205
7,Concise,78.09,8.28,0.422,0.638,-0.007
8,Persuasive,63.83,7.87,0.319,0.013,0.792
9,Comprehensive,65.75,7.73,0.464,-0.163,0.425
10,Insightful,65.75,7.64,0.202,-0.063,0.856
11,Relevant,87.84,4.07,0.477,0.207,0.421
12,Objective,79.16,4.67,0.793,-0.03,0.217
13,Replicable,69.77,7.72,0.762,-0.025,0.089
14,Structured,82.44,4.94,0.816,-0.026,0.245
15,Coherent,80.91,5.12,0.665,0.38,0.361
16,Original,70.71,9.65,0.149,-0.235,0.791
17,Balanced,75.93,5.45,0.753,0.122,0.21
18,Authoritative,71.88,6.0,0.692,-0.231,0.526
19,Impactful,70.41,8.34,0.285,-0.043,0.836
20,Interdisciplinary,44.7,13.65,-0.22,0.131,0.594
21,Well-sourced,51.96,10.69,0.467,0.09,0.395
22,Technical,86.4,6.96,0.544,-0.613,0.181
23,Provocative,18.6,12.73,-0.385,0.165,0.62
24,Hypothesis-driven,51.62,13.17,0.116,-0.173,0.578
25,Ethical,72.51,9.91,0.29,0.297,0.226
26,Difficult to understand,28.57,14.39,-0.052,-0.883,0.098
27,Exciting,50.75,11.96,-0.042,0.188,0.848
28,Not well written,10.0,3.16,-0.646,-0.474,0.033
29,Theoretical,56.0,16.78,-0.053,-0.516,0.366
30,To the point,81.6,7.13,0.49,0.595,0.006
31,Disengaging,10.84,3.36,-0.49,-0.45,-0.255
32,Uncontroversial,77.62,11.67,0.414,-0.081,-0.505
33,Lax,10.92,3.33,-0.789,-0.054,-0.158
34,Conventional,26.67,11.66,-0.155,0.345,-0.692
35,Inaccessible,20.89,13.7,-0.063,-0.836,-0.01
36,Haphazard,10.13,2.86,-0.794,-0.28,0.031
37,Verbose,15.61,7.09,-0.417,-0.623,0.115
38,Unconvincing,16.54,3.72,-0.749,-0.262,-0.19
39,Superficial,21.24,4.81,-0.691,0.189,-0.465
40,Uninsightful,16.76,4.32,-0.627,-0.064,-0.482
41,Irrelevant,9.03,2.18,-0.513,-0.303,0.126
42,Subjective,16.2,5.07,-0.71,-0.051,0.262
43,Non-replicable,18.04,5.26,-0.747,-0.221,0.129
44,Unstructured,10.03,2.89,-0.785,-0.317,0.041
45,Incoherent,10.02,3.04,-0.714,-0.433,0.005
46,Derivative,21.35,6.72,-0.269,0.251,-0.685
47,Unbalanced,13.06,4.04,-0.78,-0.13,0.033
48,Unreliable,14.38,4.1,-0.823,-0.063,-0.072
49,Inconsequential,18.34,4.17,-0.57,-0.048,-0.382
50,Narrow,37.47,5.63,-0.121,-0.036,-0.534
51,Poorly-sourced,16.9,4.95,-0.455,-0.222,0.203
52,Nontechnical,10.49,5.0,-0.521,0.406,0.061
53,Unprovocative,73.81,19.71,0.369,-0.088,-0.502
54,Speculation-driven,18.32,6.43,-0.655,-0.028,0.395
55,Unethical,7.8,3.47,-0.308,-0.105,0.258
56,Easy to understand,69.55,13.35,0.031,0.893,-0.029
57,Dull,22.57,5.99,-0.157,-0.124,-0.663
58,Well written,79.67,5.53,0.599,0.526,0.311
59,Empirical,69.68,15.58,0.416,0.077,0.216
60,Circumlocutory,12.05,5.56,-0.543,-0.528,0.115
