Item_No,Item,rho,p
19,Impactful,0.2950542634233055,1.0431454174128564e-40
27,Exciting,0.27393101024707117,4.1376184040635583e-35
1,Engaging,0.2615932582713202,4.633185893058005e-32
8,Persuasive,0.24402224477612824,5.436486845978312e-28
21,Well-sourced,0.2436514083087633,6.573606677542801e-28
10,Insightful,0.2419324680996868,1.5788171994671965e-27
17,Balanced,0.22824875357373353,1.3237568757434381e-24
11,Relevant,0.2280412358289064,1.4611971066264153e-24
18,Authoritative,0.22336122857748053,1.321099444814203e-23
9,Comprehensive,0.21833580185904242,1.3298406066872275e-22
15,Coherent,0.1985408311543727,6.858378145122825e-19
5,Accessible,0.19236909492821214,8.264339075080343e-18
13,Replicable,0.18672867924824466,7.477877823713505e-17
14,Structured,0.17579134631546645,4.407130796627224e-15
3,Rigorous,0.1739818534156308,8.440776744312203e-15
30,To the point,0.1666762993221231,1.0846295505564467e-13
58,Well written,0.16219379848296633,4.915476310531795e-13
12,Objective,0.16090291889597172,7.536696420354852e-13
7,Concise,0.15893436472878072,1.4365998140674481e-12
6,Methodical,0.15711377879995725,2.5901038314665998e-12
4,Innovative,0.15357400741579452,7.988739303297089e-12
16,Original,0.1509636197896243,1.8030204432179403e-11
59,Empirical,0.12745556729493387,1.4694135866105321e-08
24,Hypothesis-driven,0.11978993631265733,1.0273248423434532e-07
56,Easy to understand,0.08609069919897841,0.00013453702633430697
22,Technical,0.07828575377019537,0.0005190194612146975
20,Interdisciplinary,0.061513230735212955,0.0064196258142830715
23,Provocative,0.06041410694512253,0.007433995942739007
25,Ethical,0.004472081520175569,0.8430738351092194
2,Controversial,0.00017698796668902695,0.9937489639584389
32,Uncontroversial,-0.0013703307673056527,0.9516304502586022
52,Nontechnical,-0.0036310842827859953,0.872302137082817
29,Theoretical,-0.017417751148129577,0.4406613790631786
55,Unethical,-0.0194199510295276,0.3899382812487481
53,Unprovocative,-0.03038882803622557,0.17846062290219325
54,Speculation-driven,-0.0431965834465274,0.05574251050863375
36,Haphazard,-0.07341088139915362,0.0011378629472137412
60,Circumlocutory,-0.0749352272197019,0.0008944780403116128
34,Conventional,-0.08055390720431277,0.0003547746398296042
26,Difficult to understand,-0.08535354306526441,0.00015359151328298462
33,Lax,-0.08585643149053025,0.000140336966562937
44,Unstructured,-0.09273360958236926,3.891392980741991e-05
37,Verbose,-0.09413056037871402,2.9657416976180453e-05
35,Inaccessible,-0.0986816553028301,1.1924841297111926e-05
28,Not well written,-0.10256291259564587,5.311736245796409e-06
45,Incoherent,-0.10418784374411474,3.7533142014250397e-06
47,Unbalanced,-0.10948022262877398,1.1685603161214194e-06
42,Subjective,-0.11508262354995735,3.200085741443635e-07
50,Narrow,-0.11802178358598807,1.5823272812891125e-07
41,Irrelevant,-0.12648859831936793,1.8901330127680394e-08
31,Disengaging,-0.13090681676148147,5.891369965191298e-09
48,Unreliable,-0.13557110844059223,1.6489832529895346e-09
46,Derivative,-0.13669064204682513,1.2068163682509747e-09
43,Non-replicable,-0.14671986502009743,6.572380931315829e-11
39,Superficial,-0.1537319938395747,7.601270829547215e-12
38,Unconvincing,-0.16707917451294538,9.449326671558541e-14
40,Uninsightful,-0.18672813162596674,7.479452203726576e-17
51,Poorly-sourced,-0.19194886785028922,9.761235270856088e-18
49,Inconsequential,-0.2010625407163955,2.4219185997849988e-19
57,Dull,-0.2156000638682727,4.564345962105477e-22
