Component,Target,rho,p,n
Quality & Reliability,score_mean,0.06637497251285426,0.006171585956868969,1701
Quality & Reliability,score_weighted,0.06703872603937673,0.005675379661178304,1701
Quality & Reliability,score_median,0.06679523059478526,0.005853074915299025,1701
Quality & Reliability,accept,0.08964897163202454,0.0002137825676830351,1701
Quality & Reliability,cites,0.060558712134219934,0.012486419964130942,1701
Quality & Reliability,TNCSI,0.07415073797713712,0.0022120574393084107,1701
Quality & Reliability,TNCSI_SP,0.06348998215130391,0.008812419024383655,1701
Accessibility & Understandability,score_mean,0.022406639746569715,0.3557166376496175,1701
Accessibility & Understandability,score_weighted,0.02482526159458743,0.30617651705375004,1701
Accessibility & Understandability,score_median,0.013336869407162364,0.5825422955745999,1701
Accessibility & Understandability,accept,0.01891164794872027,0.435701218446806,1701
Accessibility & Understandability,cites,0.16160204023512523,2.0252187444667576e-11,1701
Accessibility & Understandability,TNCSI,0.12650737600038847,1.6518570867347762e-07,1701
Accessibility & Understandability,TNCSI_SP,0.09774378335774535,5.3915015110976463e-05,1701
Novelty & Engagement,score_mean,0.11747611229144736,1.1836335610693932e-06,1701
Novelty & Engagement,score_weighted,0.11652416554297387,1.4448394801292015e-06,1701
Novelty & Engagement,score_median,0.12270128816309375,3.8533619023880546e-07,1701
Novelty & Engagement,accept,0.08124754372973847,0.000796552669691486,1701
Novelty & Engagement,cites,0.16975125640885055,1.826353811913424e-12,1701
Novelty & Engagement,TNCSI,0.1678840320516016,3.2034768332560184e-12,1701
Novelty & Engagement,TNCSI_SP,0.16427928970543887,9.310252636619199e-12,1701
