Item_No,Item,rho,p
1,Engaging,0.05077665712834789,0.023156280509801088
21,Well-sourced,0.045366087765961724,0.04249811395414259
8,Persuasive,0.040604107741626455,0.06944951016875948
27,Exciting,0.03477919976633766,0.11997677492451705
10,Insightful,0.03392570415335863,0.129344550040731
11,Relevant,0.03368613005423383,0.13207356718178848
3,Rigorous,0.03213288665730758,0.15086042649205383
5,Accessible,0.03195363357794705,0.1531533720842539
19,Impactful,0.031077956955626696,0.16473693769485545
13,Replicable,0.027925143239479353,0.21191643927937343
59,Empirical,0.027659761026109023,0.2162930738651942
36,Haphazard,0.027180157207457728,0.22436681142807377
24,Hypothesis-driven,0.02611298217780247,0.2430985195082711
20,Interdisciplinary,0.02578965048235506,0.2489847194837971
60,Circumlocutory,0.02566802949020306,0.25122437301884404
51,Poorly-sourced,0.02442674444613501,0.27488708797372946
40,Uninsightful,0.023855129227439577,0.2862796525320942
43,Non-replicable,0.022365513320893482,0.3174480200956951
45,Incoherent,0.02231412403459663,0.318561527931505
55,Unethical,0.021819376570919206,0.32941234253168916
44,Unstructured,0.021226204465806548,0.34273345825969803
37,Verbose,0.021114860453140132,0.34527179339321157
31,Disengaging,0.01939152880270139,0.38607633959280085
48,Unreliable,0.01937001945829622,0.38660354400890173
57,Dull,0.019293519238268466,0.38848215587383583
9,Comprehensive,0.018747986568944743,0.40203917229043706
46,Derivative,0.01799209561723926,0.42128550386655217
41,Irrelevant,0.016765518421253442,0.45363983338430947
30,To the point,0.016177629028312566,0.46963038460669193
7,Concise,0.015295489013757456,0.4941978404601389
49,Inconsequential,0.014911077763416658,0.5051146804172496
22,Technical,0.014690018339135281,0.5114495322754717
35,Inaccessible,0.013410760063627897,0.5489065600042131
47,Unbalanced,0.013220690446741358,0.5545851222706714
28,Not well written,0.013055189712741461,0.5595529279618885
50,Narrow,0.012452928918854496,0.5778107848464291
23,Provocative,0.012190215871825984,0.5858618836047078
2,Controversial,0.011975646856574453,0.5924759064667473
52,Nontechnical,0.011634195528025523,0.6030709915590698
32,Uncontroversial,0.011450430416638837,0.6088081734932915
53,Unprovocative,0.01089123703935189,0.6264136375536242
54,Speculation-driven,0.010844204410237606,0.6279043327400189
4,Innovative,0.010643588990663139,0.6342798121047415
42,Subjective,0.010105011169021872,0.651529182536106
56,Easy to understand,0.008284656681527976,0.7111769776697312
17,Balanced,0.0077033602830448265,0.730624838444639
39,Superficial,0.007436906871713318,0.7395983713543235
33,Lax,0.007148522764303926,0.7493505196991483
58,Well written,0.006227437616712761,0.7807605356235352
38,Unconvincing,0.004962128817464478,0.8244884373646637
16,Original,0.003849039407751095,0.8634160685284373
34,Conventional,0.0035037988044960386,0.8755623374187949
25,Ethical,-0.00014831538413002644,0.9947110862455022
18,Authoritative,-0.0015149888350594995,0.9460164554151593
15,Coherent,-0.0022361436723503506,0.9203911739060573
26,Difficult to understand,-0.0030497391505183657,0.8915813328293505
14,Structured,-0.005900044778233407,0.7920146710955076
6,Methodical,-0.00866257587461096,0.6986324026667796
12,Objective,-0.02470676370312778,0.26942058694865806
29,Theoretical,-0.05660765526643699,0.011340783997163484
