Readability,Component,rho,p
n_sentences,Quality & Reliability,-0.026498457781210873,0.26872268029229673
n_sentences,Accessibility & Understandability,-0.14934997090464325,3.663044262535423e-10
n_sentences,Novelty & Engagement,-0.01159947457871579,0.6283310438754346
n_words,Quality & Reliability,-0.08981103609377154,0.00017298115327760494
n_words,Accessibility & Understandability,-0.2580779438576321,6.216112539880755e-28
n_words,Novelty & Engagement,0.045227753184416186,0.058975151160097446
n_characters,Quality & Reliability,-0.07395433183334094,0.0019985897628346508
n_characters,Accessibility & Understandability,-0.25162975589684894,1.3613034317279713e-26
n_characters,Novelty & Engagement,0.04654740553519224,0.05195137375494279
n_syllables,Quality & Reliability,-0.06990544365462567,0.003491142221727279
n_syllables,Accessibility & Understandability,-0.24681396046297524,1.2892554022019678e-25
n_syllables,Novelty & Engagement,0.045607400446841105,0.05687811977346685
n_polysyllables,Quality & Reliability,-0.020834188622326583,0.38455631221681186
n_polysyllables,Accessibility & Understandability,-0.16692880300898041,2.2924194688520804e-12
n_polysyllables,Novelty & Engagement,0.028403035611562606,0.23580625423221951
ARI,Quality & Reliability,-0.0012015492035946822,0.9600090638968293
ARI,Accessibility & Understandability,-0.01824740736913002,0.4463279438501623
ARI,Novelty & Engagement,0.06416115203613328,0.007355858512712954
SMOG,Quality & Reliability,0.010775417965123841,0.6529375291277582
SMOG,Accessibility & Understandability,0.004087340153687226,0.8645613653401312
SMOG,Novelty & Engagement,0.04946999973316525,0.03885573627606564
Flesch_Kincaid_Grade,Quality & Reliability,-0.0004508067567060937,0.98499048595316
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.016629841674065678,0.4876617414220151
Flesch_Kincaid_Grade,Novelty & Engagement,0.06378334999109579,0.007710872779736641
Flesch_Reading_Ease,Quality & Reliability,-0.027243271703415683,0.2554932420236748
Flesch_Reading_Ease,Accessibility & Understandability,-0.014595767147205873,0.5424365834017977
Flesch_Reading_Ease,Novelty & Engagement,-0.030990311461543935,0.19581185429918885
Coleman_Liau,Quality & Reliability,0.054283470307682546,0.023390807846633343
Coleman_Liau,Accessibility & Understandability,0.04196499192024708,0.07976954558004547
Coleman_Liau,Novelty & Engagement,-0.00419399498656234,0.8610626879667805
Gunning_Fog,Quality & Reliability,0.012296001108854409,0.6078482776535935
Gunning_Fog,Accessibility & Understandability,0.00883818628149284,0.712249920407683
Gunning_Fog,Novelty & Engagement,0.04777362848582509,0.046065366800161524
