No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.85,5.58,-0.456,-0.307,0.093
2,2. Empirical,81.61,10.81,0.445,0.229,-0.016
3,3. Well written,85.28,4.29,0.45,0.467,0.297
4,4. Dull,16.54,6.33,-0.344,-0.598,-0.267
5,5. Easy to understand,79.03,4.93,0.461,0.371,-0.075
6,6. Unethical,5.16,5.34,-0.159,-0.314,0.122
7,7. Speculation-driven,19.19,10.18,-0.479,-0.42,0.271
8,8. Unprovocative,39.64,13.74,-0.097,-0.282,-0.13
9,9. Nontechnical,19.71,10.14,-0.443,-0.233,-0.184
10,10. Poorly-sourced,14.39,9.71,-0.39,-0.459,0.027
11,11. Narrow,34.22,8.4,-0.027,-0.685,-0.226
12,12. Inconsequential,14.27,5.91,-0.141,-0.713,-0.209
13,13. Unreliable,13.04,5.62,-0.479,-0.59,0.033
14,14. Unbalanced,30.58,21.21,0.266,-0.645,-0.04
15,15. Derivative,22.78,6.6,-0.33,-0.631,-0.248
16,16. Incoherent,10.5,3.5,-0.381,-0.605,-0.032
17,17. Unstructured,19.06,18.66,0.228,-0.507,-0.042
18,18. Non-replicable,27.23,22.57,0.229,-0.584,0.018
19,19. Subjective,20.8,8.96,-0.567,-0.425,0.018
20,20. Irrelevant,10.39,5.06,-0.211,-0.495,-0.064
21,21. Uninsightful,16.43,6.04,-0.387,-0.732,-0.212
22,22. Superficial,24.64,6.84,-0.424,-0.742,-0.192
23,23. Unconvincing,18.77,6.7,-0.505,-0.662,-0.088
24,24. Verbose,22.32,6.57,-0.574,-0.369,0.106
25,25. Haphazard,15.42,5.14,-0.577,-0.591,-0.018
26,26. Inaccessible,21.87,8.81,-0.285,-0.567,0.056
27,27. Conventional,42.5,10.32,-0.141,-0.53,-0.343
28,28. Lax,16.84,6.62,-0.539,-0.63,-0.047
29,29. Uncontroversial,52.18,12.06,0.041,-0.339,-0.254
30,30. Disengaging,24.91,6.3,-0.355,-0.685,-0.236
31,31. To the point,78.87,5.44,0.709,0.186,0.136
32,32. Theoretical,65.98,13.21,-0.027,-0.167,0.566
33,33. Not well written,13.25,4.17,-0.478,-0.561,-0.206
34,34. Exciting,62.07,8.55,0.255,0.127,0.743
35,35. Difficult to understand,25.91,7.87,-0.309,-0.427,0.266
36,36. Ethical,93.13,4.67,0.386,0.278,-0.033
37,37. Hypothesis-driven,75.92,6.86,0.445,0.134,0.475
38,38. Provocative,51.19,8.32,-0.075,-0.074,0.773
39,39. Technical,80.71,7.91,0.533,0.023,0.345
40,40. Well-sourced,76.24,7.62,0.598,0.261,0.157
41,41. Interdisciplinary,53.15,9.52,-0.084,-0.141,0.55
42,42. Impactful,75.23,5.74,0.448,0.283,0.636
43,43. Authoritative,75.6,5.82,0.694,0.123,0.297
44,44. Balanced,73.18,5.59,0.694,0.076,0.293
45,45. Original,69.35,7.15,0.262,0.197,0.751
46,46. Coherent,85.14,4.35,0.695,0.313,0.316
47,47. Structured,82.37,5.03,0.673,0.303,0.291
48,48. Replicable,73.77,7.95,0.779,0.143,0.077
49,49. Objective,75.99,6.51,0.666,0.198,0.15
50,50. Relevant,86.62,4.18,0.611,0.329,0.365
51,51. Insightful,78.49,5.14,0.486,0.334,0.667
52,52. Comprehensive,71.7,5.81,0.492,0.289,0.552
53,53. Persuasive,77.08,5.66,0.522,0.344,0.535
54,54. Concise,75.51,5.58,0.649,0.086,0.109
55,55. Methodical,80.49,4.94,0.773,0.204,0.294
56,56. Accessible,72.09,5.74,0.449,0.231,0.007
57,57. Innovative,75.08,7.42,0.257,0.202,0.75
58,58. Rigorous,81.44,4.96,0.72,0.152,0.379
59,59. Controversial,37.16,8.83,-0.243,-0.285,0.577
60,60. Engaging,70.61,5.83,0.285,0.214,0.724
