Component,Target,rho,p,n
Quality & Reliability,cites,0.1798653206931123,1.092943501808332e-24,3202
Quality & Reliability,TNCSI,0.1331729952664117,3.8330202007529546e-14,3202
Quality & Reliability,TNCSI_SP,0.15550414728596995,8.764473842245864e-19,3202
Quality & Reliability,Ref_num,0.042340791338941246,0.016573091555751922,3202
Quality & Reliability,RQM,0.08772744663244249,6.632939009992228e-07,3202
Quality & Reliability,SMP,-0.07672092642793599,1.3860564692326786e-05,3202
Quality & Reliability,ARQ,0.07353336467501015,3.1136683819971e-05,3202
Quality & Reliability,OA,0.15355252180586826,2.3847876028560553e-18,3202
Quality & Reliability,is_practical,0.22709813859254951,9.919710710259168e-39,3202
Quality & Reliability,new_task,0.026570559110704065,0.13278599376520198,3202
Quality & Reliability,new_dataset,0.03773222207024472,0.03275689969932898,3202
Quality & Reliability,SOTA,0.22559628655510292,3.142583521691545e-38,3202
Quality & Reliability,is_broad,-0.01995907043863075,0.25886417913005405,3202
Accessibility & Understandability,cites,0.22104379554920894,9.842439670100333e-37,3202
Accessibility & Understandability,TNCSI,0.1601977398995916,7.484388993265972e-20,3202
Accessibility & Understandability,TNCSI_SP,0.19628690732571227,3.559156768586166e-29,3202
Accessibility & Understandability,Ref_num,0.14783087509661155,4.1649543454071735e-17,3202
Accessibility & Understandability,RQM,0.1569078308271081,4.2322942125320167e-19,3202
Accessibility & Understandability,SMP,-0.15615489695545023,6.259226094104814e-19,3202
Accessibility & Understandability,ARQ,0.09372629950116351,1.0769008972125022e-07,3202
Accessibility & Understandability,OA,0.13761445214201665,5.228982226131224e-15,3202
Accessibility & Understandability,is_practical,0.0995149146641509,1.6712617177663307e-08,3202
Accessibility & Understandability,new_task,0.07385348118393227,2.874712901802348e-05,3202
Accessibility & Understandability,new_dataset,0.049248058147056885,0.005313866012470976,3202
Accessibility & Understandability,SOTA,0.20154744589059953,1.061377874253169e-30,3202
Accessibility & Understandability,is_broad,0.026622740304306856,0.13202638579597648,3202
Novelty & Engagement,cites,0.1280998731933583,3.44245086253666e-13,3202
Novelty & Engagement,TNCSI,0.09760043243535052,3.131897169683896e-08,3202
Novelty & Engagement,TNCSI_SP,0.10936770743624698,5.47286295773232e-10,3202
Novelty & Engagement,Ref_num,0.28426089825091827,1.4024604135402547e-60,3202
Novelty & Engagement,RQM,0.006826492984051017,0.6993936614840526,3202
Novelty & Engagement,SMP,0.012574949671029048,0.4768865026977205,3202
Novelty & Engagement,ARQ,0.03242674387164873,0.06655418714443517,3202
Novelty & Engagement,OA,0.01894657522915815,0.2838131908271402,3202
Novelty & Engagement,is_practical,-0.27049467878938643,8.27130894899978e-55,3202
Novelty & Engagement,new_task,-0.005285561833472227,0.7649589229580704,3202
Novelty & Engagement,new_dataset,-0.1218277169544461,4.617782123210095e-12,3202
Novelty & Engagement,SOTA,0.13381451593987131,2.886330225986332e-14,3202
Novelty & Engagement,is_broad,-0.0387901078738562,0.028166861848776554,3202
