Component,Target,rho,p,n
Quality & Reliability,cites,0.1679834267471352,6.449157905244448e-22,3237
Quality & Reliability,TNCSI,0.1319107011802803,4.881094630504856e-14,3237
Quality & Reliability,TNCSI_SP,0.1703616762563561,1.6657552853822305e-22,3237
Quality & Reliability,Ref_num,0.031803188735957735,0.07042153372082866,3237
Quality & Reliability,RQM,0.0749596632683049,1.962079428827758e-05,3237
Quality & Reliability,SMP,-0.0785523325771443,7.662781747437197e-06,3237
Quality & Reliability,ARQ,0.05199827868373596,0.003083561198151453,3237
Quality & Reliability,OA,0.17653246387689503,4.529888115740303e-24,3237
Quality & Reliability,is_practical,0.2207559438831899,5.064315327922841e-37,3237
Quality & Reliability,new_task,0.0331985888230531,0.05894373227060169,3237
Quality & Reliability,new_dataset,0.08157438513599823,3.366358963556098e-06,3237
Quality & Reliability,SOTA,0.278613980324815,8.664318711047762e-59,3237
Quality & Reliability,is_broad,-0.019315165183903825,0.2719393480857099,3237
Accessibility & Understandability,cites,0.06722594591239633,0.00012937299715771894,3237
Accessibility & Understandability,TNCSI,0.08176864013005372,3.1898276123660124e-06,3237
Accessibility & Understandability,TNCSI_SP,0.07908991890562946,6.6337737485873555e-06,3237
Accessibility & Understandability,Ref_num,-0.08316028829476974,2.1609866783908882e-06,3237
Accessibility & Understandability,RQM,0.04906807482100594,0.005233251909569904,3237
Accessibility & Understandability,SMP,-0.08482037546100084,1.3471297228934347e-06,3237
Accessibility & Understandability,ARQ,0.009875882932655641,0.5743330552336712,3237
Accessibility & Understandability,OA,0.043935008715368734,0.01242255157317173,3237
Accessibility & Understandability,is_practical,0.2533439062466539,1.388522062004889e-48,3237
Accessibility & Understandability,new_task,0.11308743529974727,1.1017171874219104e-10,3237
Accessibility & Understandability,new_dataset,0.26463639711554915,5.238833734157714e-53,3237
Accessibility & Understandability,SOTA,-0.09693493286251043,3.27679296908247e-08,3237
Accessibility & Understandability,is_broad,0.0851719967343659,1.2174381983045632e-06,3237
Novelty & Engagement,cites,0.28231990534388945,2.2236961270577335e-60,3237
Novelty & Engagement,TNCSI,0.1875223591717628,5.289114603225491e-27,3237
Novelty & Engagement,TNCSI_SP,0.2281379245630627,1.7341395734586108e-39,3237
Novelty & Engagement,Ref_num,0.34561630679434047,1.7640768573045777e-91,3237
Novelty & Engagement,RQM,0.0957961893766673,4.7413581643222155e-08,3237
Novelty & Engagement,SMP,-0.0810088132605783,3.935254282073411e-06,3237
Novelty & Engagement,ARQ,0.08145539363441343,3.4790787768707384e-06,3237
Novelty & Engagement,OA,0.1274788677403674,3.3436297514584875e-13,3237
Novelty & Engagement,is_practical,-0.12764307580308962,3.1171889771861353e-13,3237
Novelty & Engagement,new_task,0.07695006712745718,1.1713414692450683e-05,3237
Novelty & Engagement,new_dataset,-0.043860965366729274,0.012571205880170308,3237
Novelty & Engagement,SOTA,0.22602852719510985,8.966898200398171e-39,3237
Novelty & Engagement,is_broad,0.007375547782830931,0.674870655505341,3237
