Readability,Component,rho,p
n_sentences,Quality & Reliability,0.02548127352274112,0.14772064066097476
n_sentences,Accessibility & Understandability,-0.04230939883462482,0.016201373748469854
n_sentences,Novelty & Engagement,0.1493733531629012,1.4302161081104225e-17
n_words,Quality & Reliability,0.047857562971299054,0.006528633307338782
n_words,Accessibility & Understandability,-0.24963327995162196,4.579274340359502e-47
n_words,Novelty & Engagement,0.2631486379946903,2.7525684595316352e-52
n_characters,Quality & Reliability,0.055146258432662305,0.0017196004607413975
n_characters,Accessibility & Understandability,-0.2830506143265549,1.5002213900572224e-60
n_characters,Novelty & Engagement,0.29864460639140655,1.6173547100482973e-67
n_syllables,Quality & Reliability,0.053332661575275726,0.0024328160580678
n_syllables,Accessibility & Understandability,-0.284524691024189,3.43792371895608e-61
n_syllables,Novelty & Engagement,0.2910443711151835,4.5659070628149996e-64
n_polysyllables,Quality & Reliability,0.0565717188664382,0.001300004940563925
n_polysyllables,Accessibility & Understandability,-0.2694950667955013,7.583327049247309e-55
n_polysyllables,Novelty & Engagement,0.27272871710713187,3.536765650715027e-56
ARI,Quality & Reliability,0.021458015645891785,0.2228423893514947
ARI,Accessibility & Understandability,-0.23662227923888898,2.4881226157173087e-42
ARI,Novelty & Engagement,0.13475620582731235,1.47644547180247e-14
SMOG,Quality & Reliability,0.028385818673015737,0.1068087393107257
SMOG,Accessibility & Understandability,-0.21689208084904965,1.1065315120050653e-35
SMOG,Novelty & Engagement,0.10174947963379084,6.846494608825382e-09
Flesch_Kincaid_Grade,Quality & Reliability,0.019623395964891977,0.26495279242337166
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.24066923590384975,8.980792727165957e-44
Flesch_Kincaid_Grade,Novelty & Engagement,0.11947200933694173,9.71321461096409e-12
Flesch_Reading_Ease,Quality & Reliability,-0.015726503741837587,0.37166620791285176
Flesch_Reading_Ease,Accessibility & Understandability,0.21086302678235128,8.909613367548639e-34
Flesch_Reading_Ease,Novelty & Engagement,-0.1391689565507235,1.960800790247302e-15
Coleman_Liau,Quality & Reliability,0.026287119487801245,0.1353255513135991
Coleman_Liau,Accessibility & Understandability,-0.16206683017384477,1.9128834469444835e-20
Coleman_Liau,Novelty & Engagement,0.1716569749552892,8.918475664003622e-23
Gunning_Fog,Quality & Reliability,0.02751390099998172,0.11801767922795259
Gunning_Fog,Accessibility & Understandability,-0.21020331575325946,1.4285014371683769e-33
Gunning_Fog,Novelty & Engagement,0.09578269282716591,4.946648858583081e-08
