Component,Target,rho,p,n
Quality & Reliability,cites,-0.000901627411961353,0.9678565022607507,2000
Quality & Reliability,TNCSI,0.017713074612762593,0.4285241621037832,2000
Quality & Reliability,TNCSI_SP,0.02092439126448811,0.3496416528472125,2000
Quality & Reliability,Ref_num,-0.020342075719719986,0.36321785084971236,2000
Quality & Reliability,RQM,0.04824119734410547,0.030980801857995188,2000
Quality & Reliability,SMP,-0.03800290293506166,0.08930171532922339,2000
Quality & Reliability,ARQ,0.05038996644270925,0.024225714058329278,2000
Quality & Reliability,OA,0.041741095105200444,0.061990332395402234,2000
Quality & Reliability,is_practical,0.1890352650525085,1.520123398249408e-17,2000
Quality & Reliability,new_task,0.019952975922033708,0.3724705886946793,2000
Quality & Reliability,new_dataset,0.06894167174275434,0.002036147064205163,2000
Quality & Reliability,SOTA,0.09381191447158739,2.6451697176712223e-05,2000
Quality & Reliability,is_broad,-0.022060826373746692,0.3240873056031819,2000
Accessibility & Understandability,cites,0.08387300337241291,0.00017321157945774664,2000
Accessibility & Understandability,TNCSI,0.04720565284715243,0.034775924529952755,2000
Accessibility & Understandability,TNCSI_SP,0.03923917362865503,0.07936066239623434,2000
Accessibility & Understandability,Ref_num,0.11211466017150769,4.99147526114858e-07,2000
Accessibility & Understandability,RQM,0.07655577034121278,0.0006112626490103236,2000
Accessibility & Understandability,SMP,-0.0865371096609181,0.0001066648125999006,2000
Accessibility & Understandability,ARQ,0.051940753752866387,0.02018038943226954,2000
Accessibility & Understandability,OA,0.06961391670697807,0.0018390615614820723,2000
Accessibility & Understandability,is_practical,-0.047464280454003735,0.033792720784737926,2000
Accessibility & Understandability,new_task,-0.0068321851669928485,0.7600941515195039,2000
Accessibility & Understandability,new_dataset,-0.07096679665133303,0.0014944863865769542,2000
Accessibility & Understandability,SOTA,0.12612960309672774,1.5156975995632933e-08,2000
Accessibility & Understandability,is_broad,0.00026279799608133536,0.9906287929420986,2000
Novelty & Engagement,cites,0.11585780075026193,2.0407847547386235e-07,2000
Novelty & Engagement,TNCSI,0.05613124536571597,0.01205003234277391,2000
Novelty & Engagement,TNCSI_SP,0.0455808293918344,0.04152777475820441,2000
Novelty & Engagement,Ref_num,0.17849320894856524,8.828868539211585e-16,2000
Novelty & Engagement,RQM,0.060363306970914035,0.006927614704736589,2000
Novelty & Engagement,SMP,-0.07560110868406392,0.000715124908369776,2000
Novelty & Engagement,ARQ,0.02863695605149884,0.20049397675079772,2000
Novelty & Engagement,OA,0.0350953751331739,0.11664444642034127,2000
Novelty & Engagement,is_practical,-0.20152821758634218,8.991243629340045e-20,2000
Novelty & Engagement,new_task,0.024678790220615324,0.2699633062064833,2000
Novelty & Engagement,new_dataset,-0.10048507995150505,6.718417892899852e-06,2000
Novelty & Engagement,SOTA,0.07609010936959446,0.0006600341828543158,2000
Novelty & Engagement,is_broad,-0.0027132117433262184,0.9034828183299405,2000
