Readability,Target,rho,p
n_sentences,cites,0.11173722309756312,5.745856480007682e-07
n_sentences,TNCSI,0.12348693990724424,3.2176361384287693e-08
n_sentences,TNCSI_SP,0.1024194644358715,4.642035680860097e-06
n_sentences,Ref_num,0.10500058902672296,2.647691457807679e-06
n_sentences,RQM,0.06272797866200626,0.005099738514880511
n_sentences,SMP,0.03510771677971267,0.11725011941131369
n_sentences,ARQ,0.08943263472240397,6.413735448614097e-05
n_sentences,OA,0.056065894082997135,0.012324256656617434
n_sentences,is_practical,0.04817229333070841,0.03156185345111799
n_sentences,new_task,0.04088025018694015,0.0681252352276669
n_sentences,new_dataset,0.032573630471761796,0.14614221659988422
n_sentences,SOTA,0.08984509491732835,5.930561859594386e-05
n_sentences,is_broad,-0.03934828869094038,0.07912877835307514
n_words,cites,0.12463085938927129,2.3943859200279306e-08
n_words,TNCSI,0.13424108956931002,1.7998947428897113e-09
n_words,TNCSI_SP,0.12452125571032453,2.463435367700181e-08
n_words,Ref_num,0.19269442776557758,4.087086718017792e-18
n_words,RQM,0.05935629685198839,0.008052665914565316
n_words,SMP,0.02105835474881198,0.34753205319338665
n_words,ARQ,0.07828080525561516,0.0004705404321257819
n_words,OA,0.005407801033815164,0.8093921241830336
n_words,is_practical,-0.033488939592063345,0.1351355153246911
n_words,new_task,0.03729332808106316,0.09611174354842282
n_words,new_dataset,-0.002354481314584861,0.9163607418391799
n_words,SOTA,0.06774670104541865,0.00248438282652835
n_words,is_broad,-0.02845835690065586,0.20422417884422842
n_characters,cites,0.1352180341696869,1.3689711730499174e-09
n_characters,TNCSI,0.1373878671722494,7.40233577751987e-10
n_characters,TNCSI_SP,0.13024250851949207,5.405625394759718e-09
n_characters,Ref_num,0.22528917852614386,2.4381579611638454e-24
n_characters,RQM,0.06021200944226004,0.00718546468912551
n_characters,SMP,0.0060070552812298275,0.788745516624325
n_characters,ARQ,0.07209937487014599,0.0012814665163814974
n_characters,OA,0.012952433292712059,0.5634314743930867
n_characters,is_practical,-0.06047497200906105,0.006936333190804167
n_characters,new_task,0.037448102254266646,0.09473862817718871
n_characters,new_dataset,-0.020370100467242386,0.3635199021840737
n_characters,SOTA,0.05797657337033359,0.009649202797975874
n_characters,is_broad,-0.013235244486045163,0.5549438147061774
n_syllables,cites,0.12650092158381415,1.4685717132078389e-08
n_syllables,TNCSI,0.13164735413940773,3.686961940866303e-09
n_syllables,TNCSI_SP,0.12628732534178225,1.5534594626966144e-08
n_syllables,Ref_num,0.21619502469396443,1.69222173009999e-22
n_syllables,RQM,0.04764476941761116,0.03347446782564854
n_syllables,SMP,0.02203630533132854,0.3255963231063359
n_syllables,ARQ,0.06473172430557718,0.0038485811409156765
n_syllables,OA,0.0064654720204727996,0.7730499714179543
n_syllables,is_practical,-0.061938081972309905,0.005686526464233927
n_syllables,new_task,0.033157627723991834,0.1390432269600825
n_syllables,new_dataset,-0.020644757329794063,0.35708539677962814
n_syllables,SOTA,0.04829704680079821,0.031123487577819575
n_syllables,is_broad,-0.01423590010197617,0.5254234643547928
n_polysyllables,cites,0.10478451001810764,2.7765182583419103e-06
n_polysyllables,TNCSI,0.09979646884915451,8.102911795477521e-06
n_polysyllables,TNCSI_SP,0.10736989968997145,1.5630834609111843e-06
n_polysyllables,Ref_num,0.19991591039057025,2.0967057075699812e-19
n_polysyllables,RQM,0.005140813429640467,0.8186346717664028
n_polysyllables,SMP,0.03684945002718967,0.10013812957373941
n_polysyllables,ARQ,0.019863769497332994,0.3755705056318913
n_polysyllables,OA,0.013916764177748306,0.5347504409097952
n_polysyllables,is_practical,-0.0756185107365852,0.0007309193222532599
n_polysyllables,new_task,0.0442351927668268,0.048378958070916425
n_polysyllables,new_dataset,-0.0068241171257771415,0.7608344551448466
n_polysyllables,SOTA,0.02275978120349329,0.3099606924812149
n_polysyllables,is_broad,0.009335005156132505,0.677127652680551
ARI,cites,0.011376996216576469,0.6118223974141473
ARI,TNCSI,-0.007248916704784454,0.746442635192315
ARI,TNCSI_SP,0.0020988358728818873,0.9254140529312959
ARI,Ref_num,0.1178552581067198,1.3262060896719332e-07
ARI,RQM,-0.013818288867303595,0.5376452096901106
ARI,SMP,-0.04761493012349471,0.03358555349165936
ARI,ARQ,-0.04343670069966883,0.05257964855832947
ARI,OA,-0.03668610266635954,0.10165323972572558
ARI,is_practical,-0.1279578683342073,9.985122540687015e-09
ARI,new_task,-0.02191317021268227,0.32830767464122024
ARI,new_dataset,-0.07207977505915786,0.0012853953918289306
ARI,SOTA,-0.035977803466252026,0.10843508627624769
ARI,is_broad,0.039444803895441666,0.07839533063899824
SMOG,cites,-0.01821643838084967,0.4164531565155013
SMOG,TNCSI,-0.030362677018523368,0.175543936802072
SMOG,TNCSI_SP,-0.008651444631143191,0.6995747057035449
SMOG,Ref_num,0.07496232681779001,0.0008130386190275527
SMOG,RQM,-0.052110696654689447,0.020023028755813382
SMOG,SMP,0.004822194264928418,0.8296975417926877
SMOG,ARQ,-0.06383272656132334,0.004370688946268579
SMOG,OA,-0.042685535290208514,0.05680532450677298
SMOG,is_practical,-0.11606683742172909,2.0517355946897027e-07
SMOG,new_task,-0.006122031663389064,0.7848005530097855
SMOG,new_dataset,-0.03713717574339078,0.09751316770208411
SMOG,SOTA,-0.051499503243308514,0.02152769190028323
SMOG,is_broad,0.04328752177573972,0.053397294240303796
Flesch_Kincaid_Grade,cites,-0.009762859566095157,0.6632204886415185
Flesch_Kincaid_Grade,TNCSI,-0.024586870131040738,0.2727139919111102
Flesch_Kincaid_Grade,TNCSI_SP,-0.008484796922643645,0.7050880858516907
Flesch_Kincaid_Grade,Ref_num,0.10350673473740647,3.670218435317962e-06
Flesch_Kincaid_Grade,RQM,-0.04244709284695347,0.058204327165461464
Flesch_Kincaid_Grade,SMP,-0.012498758641140575,0.5771762564322109
Flesch_Kincaid_Grade,ARQ,-0.06079975094217716,0.006639353355514588
Flesch_Kincaid_Grade,OA,-0.04939497571079789,0.027485692227067322
Flesch_Kincaid_Grade,is_practical,-0.1303334313736534,5.274045259418004e-09
Flesch_Kincaid_Grade,new_task,-0.028768710941110585,0.1993310293295525
Flesch_Kincaid_Grade,new_dataset,-0.07266541686577806,0.001172669653918438
Flesch_Kincaid_Grade,SOTA,-0.0530514954328048,0.017886154554437445
Flesch_Kincaid_Grade,is_broad,0.04271966297620351,0.056607394858083436
Flesch_Reading_Ease,cites,0.002440462938870226,0.9133182030520158
Flesch_Reading_Ease,TNCSI,0.014911251208650736,0.5059637505059753
Flesch_Reading_Ease,TNCSI_SP,0.002420966661231318,0.9140079870915758
Flesch_Reading_Ease,Ref_num,-0.11826412891393577,1.1992011460014277e-07
Flesch_Reading_Ease,RQM,0.050199632796688244,0.02505798707082075
Flesch_Reading_Ease,SMP,-0.011517657837997582,0.6074278477463596
Flesch_Reading_Ease,ARQ,0.057247938232372564,0.010601335320711721
Flesch_Reading_Ease,OA,0.02701998823622722,0.22804330761070063
Flesch_Reading_Ease,is_practical,0.13497431899831736,1.4659658041888449e-09
Flesch_Reading_Ease,new_task,0.02805706314657373,0.2106797919861001
Flesch_Reading_Ease,new_dataset,0.07206401891994373,0.0012885618374806635
Flesch_Reading_Ease,SOTA,0.05779888007232014,0.009874095981535482
Flesch_Reading_Ease,is_broad,-0.04600345455958615,0.04007098956429871
Coleman_Liau,cites,0.05153215545708259,0.021444887847491177
Coleman_Liau,TNCSI,0.02935121763598772,0.19037915265515612
Coleman_Liau,TNCSI_SP,0.03015443702077402,0.1785255462042992
Coleman_Liau,Ref_num,0.1490255934381473,2.3176556985686086e-11
Coleman_Liau,RQM,0.007968793574804404,0.7222568295743811
Coleman_Liau,SMP,-0.048915879285484874,0.029025384185063022
Coleman_Liau,ARQ,-0.015908636147784906,0.477933162169323
Coleman_Liau,OA,0.012996599114579187,0.5621018696760107
Coleman_Liau,is_practical,-0.11761416407453038,1.4070894396997766e-07
Coleman_Liau,new_task,-0.012396625329181694,0.5802921742146956
Coleman_Liau,new_dataset,-0.06965054758280492,0.0018679757475544105
Coleman_Liau,SOTA,-0.016972907683316024,0.44898341191750313
Coleman_Liau,is_broad,0.04296442812200295,0.055204580524235464
Gunning_Fog,cites,-0.01718001839171874,0.4434675581388656
Gunning_Fog,TNCSI,-0.0307529233160678,0.17005655367628955
Gunning_Fog,TNCSI_SP,-0.009640338963568036,0.6671913783699535
Gunning_Fog,Ref_num,0.07278896265484953,0.0011500868220409956
Gunning_Fog,RQM,-0.05642429646483896,0.011777378059801162
Gunning_Fog,SMP,0.006858143394522662,0.7596785495482365
Gunning_Fog,ARQ,-0.06843427294801842,0.0022430188524694846
Gunning_Fog,OA,-0.046021241127633714,0.03999398940747497
Gunning_Fog,is_practical,-0.11387996678732598,3.4678325934840096e-07
Gunning_Fog,new_task,-0.00493548706487266,0.8257598813358944
Gunning_Fog,new_dataset,-0.03485876035727117,0.11987314623901789
Gunning_Fog,SOTA,-0.05229130278609065,0.01959633491611919
Gunning_Fog,is_broad,0.04577834433212956,0.04105642678441556
