Item_No,Item,rho,p
5,5. Easy to understand,0.1390191430771844,1.9952279319361612e-14
56,56. Accessible,0.12146695940518631,2.4354762416486428e-11
2,2. Empirical,0.11626935286248187,1.6644581152911166e-10
40,40. Well-sourced,0.11527039465794414,2.3854920438344474e-10
60,60. Engaging,0.11270592208721993,5.926172719810209e-10
42,42. Impactful,0.11100969182785872,1.0700040211612846e-09
54,54. Concise,0.10942296896771621,1.8449634277503822e-09
46,46. Coherent,0.0975412402962539,8.56125414700536e-08
31,31. To the point,0.09714530268428108,9.658128411380524e-08
51,51. Insightful,0.09684296653603676,1.0586052042784582e-07
44,44. Balanced,0.09456107450336478,2.0970122961950287e-07
53,53. Persuasive,0.09080507905667762,6.244994167901902e-07
34,34. Exciting,0.08946529281431258,9.123669698118416e-07
52,52. Comprehensive,0.08910445520707062,1.0095187442365893e-06
47,47. Structured,0.08646021425649295,2.094229619504822e-06
43,43. Authoritative,0.08534418469400086,2.831910884940887e-06
58,58. Rigorous,0.0807111613031843,9.529243868287416e-06
50,50. Relevant,0.07733063409246071,2.2195889896292472e-05
48,48. Replicable,0.07300553091697067,6.236270832265962e-05
3,3. Well written,0.06946812306721234,0.00013941095451461345
37,37. Hypothesis-driven,0.0666111607179309,0.0002600071924918995
38,38. Provocative,0.06599014509744476,0.00029680590158662694
55,55. Methodical,0.06262357127413788,0.0005966816607950414
49,49. Objective,0.04820375320237119,0.008252912396814732
59,59. Controversial,0.03569316425912186,0.0505293574840822
57,57. Innovative,0.02478410876824253,0.17459796361496097
36,36. Ethical,0.016828853078726478,0.356662799917835
45,45. Original,0.016000795913810057,0.3808219897862939
9,9. Nontechnical,0.007837099607508053,0.6677584394457301
39,39. Technical,0.0028268932024387372,0.8769610757581131
41,41. Interdisciplinary,-0.021602810723449165,0.23670051388627442
6,6. Unethical,-0.027644852582505573,0.12994110866602013
32,32. Theoretical,-0.0406367225018648,0.025980767041143365
14,14. Unbalanced,-0.05157795527269501,0.004703227299338702
11,11. Narrow,-0.05359089328196467,0.00331232933663151
29,29. Uncontroversial,-0.0576107022491943,0.0015894931688278792
27,27. Conventional,-0.061384756465134624,0.0007652286533350386
18,18. Non-replicable,-0.06476297662444419,0.00038428624225792044
8,8. Unprovocative,-0.06569471737310563,0.00031597375774159385
20,20. Irrelevant,-0.07265781967903971,6.760296343746367e-05
12,12. Inconsequential,-0.073891590362344,5.069222221771767e-05
19,19. Subjective,-0.07512704847786907,3.782830301193096e-05
15,15. Derivative,-0.07607616990014547,3.0119113479265844e-05
13,13. Unreliable,-0.08337643418648795,4.778126304826277e-06
22,22. Superficial,-0.0837280171920193,4.355434016952108e-06
16,16. Incoherent,-0.08478791859734801,3.2870359866712875e-06
33,33. Not well written,-0.08663828680577315,1.995102170341236e-06
7,7. Speculation-driven,-0.08704064441541874,1.7874399386417493e-06
17,17. Unstructured,-0.08975576177912965,8.407609596557243e-07
23,23. Unconvincing,-0.09036190825351711,7.083485525457547e-07
1,1. Circumlocutory,-0.09061078821754066,6.600106039003824e-07
21,21. Uninsightful,-0.09384559001872668,2.5899441090927534e-07
10,10. Poorly-sourced,-0.09717802051793673,9.562564360102628e-08
4,4. Dull,-0.09926453522919104,5.0382900332961594e-08
28,28. Lax,-0.10152849453123179,2.4768396911883978e-08
30,30. Disengaging,-0.12072118479740099,3.225238130159108e-11
25,25. Haphazard,-0.12317158718493848,1.2734626728935543e-11
26,26. Inaccessible,-0.13112829265697382,5.483026530559033e-13
35,35. Difficult to understand,-0.137555380294974,3.743801135816655e-14
24,24. Verbose,-0.14082778402610693,9.083400890156236e-15
