Readability,Target,rho,p
n_sentences,score_mean,0.07397174306111302,0.00016223188104676168
n_sentences,score_weighted,0.07506920686053545,0.00012936184375553805
n_sentences,score_median,0.07054237297448133,0.00032282723464610157
n_sentences,accept,0.07419714013107244,0.00015489882287385097
n_sentences,cites,0.08283944420744076,2.3876447597993466e-05
n_sentences,TNCSI,0.06807123425095783,0.0005204951513680446
n_sentences,TNCSI_SP,0.06737228365589182,0.0005941522676745003
n_words,score_mean,0.03386397991978595,0.08457554092973849
n_words,score_weighted,0.034087628025799836,0.08254074419404207
n_words,score_median,0.03190350170325077,0.10419849075407066
n_words,accept,0.021960547261202987,0.26344263164802445
n_words,cites,0.044432214009005475,0.023607653059173724
n_words,TNCSI,0.04975802213322584,0.011242178728717635
n_words,TNCSI_SP,0.04130898255835932,0.03536004131521344
n_characters,score_mean,0.01986469303451294,0.3117568920380491
n_characters,score_weighted,0.0201534909062738,0.3047730820668053
n_characters,score_median,0.02169157845737574,0.2693366977790494
n_characters,accept,0.017044555852080083,0.3854414920444509
n_characters,cites,0.011840153569629988,0.5465875360668166
n_characters,TNCSI,0.01920972070137693,0.32798337872617545
n_characters,TNCSI_SP,0.021490680934716032,0.27379766330989147
n_syllables,score_mean,0.01720278742267953,0.38104512331327034
n_syllables,score_weighted,0.017329340339997768,0.3775511681145197
n_syllables,score_median,0.01800884777089231,0.35913025212936645
n_syllables,accept,0.015370563483915271,0.43382500702738125
n_syllables,cites,0.004576649654664587,0.8157391545204364
n_syllables,TNCSI,0.014954347859168365,0.4463781172450193
n_syllables,TNCSI_SP,0.017941652130719406,0.36092631054516755
n_polysyllables,score_mean,-0.009741725248680276,0.6198751594121257
n_polysyllables,score_weighted,-0.010015198977282114,0.6100846291795506
n_polysyllables,score_median,-0.0056341293467442365,0.774209579357088
n_polysyllables,accept,-0.004155585216963728,0.8324275518028933
n_polysyllables,cites,-0.043907438092968966,0.02530621113742385
n_polysyllables,TNCSI,-0.0218305173393079,0.26628085190553025
n_polysyllables,TNCSI_SP,-0.0055248598814818545,0.77847323798648
ARI,score_mean,-0.07715717864347174,8.338840491522564e-05
ARI,score_weighted,-0.0786440518507545,6.059025082413065e-05
ARI,score_median,-0.07090850847428136,0.00030038130298536467
ARI,accept,-0.0721970070203931,0.00023247595545053182
ARI,cites,-0.12248957582132687,3.8414144934613516e-10
ARI,TNCSI,-0.09724426256343711,6.93720587863531e-07
ARI,TNCSI_SP,-0.0780147210613093,6.940727073834226e-05
SMOG,score_mean,-0.08081537775861213,3.76271467680987e-05
SMOG,score_weighted,-0.0826734336143721,2.4793657068229997e-05
SMOG,score_median,-0.07391860751523979,0.00016400752025620162
SMOG,accept,-0.07714331316336671,8.363493685632562e-05
SMOG,cites,-0.13025061143485606,2.7325335622816407e-11
SMOG,TNCSI,-0.09306840198570127,2.043879077050305e-06
SMOG,TNCSI_SP,-0.0736965254478164,0.00017162855846613573
Flesch_Kincaid_Grade,score_mean,-0.08111001883980738,3.523927112687862e-05
Flesch_Kincaid_Grade,score_weighted,-0.08271657855796045,2.4552110855687814e-05
Flesch_Kincaid_Grade,score_median,-0.07547794283812914,0.00011880900589346587
Flesch_Kincaid_Grade,accept,-0.07584821493500113,0.0001099545411977088
Flesch_Kincaid_Grade,cites,-0.14333564843408814,2.1995149243404008e-13
Flesch_Kincaid_Grade,TNCSI,-0.11185272891498832,1.109390885680276e-08
Flesch_Kincaid_Grade,TNCSI_SP,-0.08929373676977867,5.222735325297702e-06
Flesch_Reading_Ease,score_mean,0.07916425464609667,5.4113346295298496e-05
Flesch_Reading_Ease,score_weighted,0.08014279126250035,4.366600925106198e-05
Flesch_Reading_Ease,score_median,0.07151125172092984,0.0002665842073902441
Flesch_Reading_Ease,accept,0.06246792956784475,0.001453734250310893
Flesch_Reading_Ease,cites,0.16730528955444857,9.557613326573926e-18
Flesch_Reading_Ease,TNCSI,0.137258659684684,2.187109099417879e-12
Flesch_Reading_Ease,TNCSI_SP,0.09714044102129622,7.129980360723734e-07
Coleman_Liau,score_mean,-0.06623506817853955,0.0007350191110117012
Coleman_Liau,score_weighted,-0.06684711101753982,0.0006557551511437103
Coleman_Liau,score_median,-0.05282088496343361,0.007116591455968669
Coleman_Liau,accept,-0.04067489902433289,0.038276174777920974
Coleman_Liau,cites,-0.14544410870443394,9.684170191002067e-14
Coleman_Liau,TNCSI,-0.1316605666706958,1.6615826128241437e-11
Coleman_Liau,TNCSI_SP,-0.083088490204434,2.2560748810480006e-05
Gunning_Fog,score_mean,-0.07932264048382721,5.227530507371334e-05
Gunning_Fog,score_weighted,-0.08095114354225043,3.6508383980210993e-05
Gunning_Fog,score_median,-0.0729268282497435,0.00020069704436321962
Gunning_Fog,accept,-0.07381217717942244,0.0001676192203834249
Gunning_Fog,cites,-0.1350240905008613,4.963474773848852e-12
Gunning_Fog,TNCSI,-0.09781607317414834,5.962199749769155e-07
Gunning_Fog,TNCSI_SP,-0.07584257571884045,0.0001100845998602683
