Readability,Component,rho,p
n_sentences,Quality & Reliability,-0.06625813183083035,0.0007318776216115725
n_sentences,Accessibility & Understandability,-0.06260229190052137,0.0014196515662636819
n_sentences,Novelty & Engagement,0.2821687994782846,1.0628797788592756e-48
n_words,Quality & Reliability,-0.11839585725901007,1.4520357233994239e-09
n_words,Accessibility & Understandability,-0.24145526003570608,9.699763163332325e-36
n_words,Novelty & Engagement,0.3342075440545429,9.563838127656138e-69
n_characters,Quality & Reliability,-0.12051613828017092,7.333032756757188e-10
n_characters,Accessibility & Understandability,-0.2652293603027342,4.982412925172013e-43
n_characters,Novelty & Engagement,0.3620777774482788,3.2302011670332087e-81
n_syllables,Quality & Reliability,-0.11504261691638516,4.17514545748874e-09
n_syllables,Accessibility & Understandability,-0.2711622998737432,5.716832970275815e-45
n_syllables,Novelty & Engagement,0.36140185018531557,6.711827791057291e-81
n_polysyllables,Quality & Reliability,-0.07576221969809142,0.00011195370195327619
n_polysyllables,Accessibility & Understandability,-0.25982092264669465,2.652095472184932e-41
n_polysyllables,Novelty & Engagement,0.35580676398816385,2.6701184407967494e-78
ARI,Quality & Reliability,-0.030619700756084563,0.11889779827145831
ARI,Accessibility & Understandability,-0.1714464809290898,1.434765110550146e-18
ARI,Novelty & Engagement,0.03021213402123178,0.12388968542168911
SMOG,Quality & Reliability,-0.005226248474384684,0.7901586410758235
SMOG,Accessibility & Understandability,-0.17844101449836763,5.227818227292715e-20
SMOG,Novelty & Engagement,0.0435105245553268,0.026660180498941453
Flesch_Kincaid_Grade,Quality & Reliability,-0.01766458270281618,0.3683913736686687
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.18695894887381145,7.681628264585442e-22
Flesch_Kincaid_Grade,Novelty & Engagement,0.03718109336234773,0.05825294078991511
Flesch_Reading_Ease,Quality & Reliability,0.0028456184061087793,0.8847981132191235
Flesch_Reading_Ease,Accessibility & Understandability,0.15772433014329626,6.401797163340185e-16
Flesch_Reading_Ease,Novelty & Engagement,-0.0747210593206895,0.00013904049100632023
Coleman_Liau,Quality & Reliability,-0.012761369258197947,0.5158266016040841
Coleman_Liau,Accessibility & Understandability,-0.09272636064963036,2.228586324174465e-06
Coleman_Liau,Novelty & Engagement,0.08842616324920578,6.446237708031887e-06
Gunning_Fog,Quality & Reliability,3.0793843579054695e-05,0.9987489831202032
Gunning_Fog,Accessibility & Understandability,-0.17496976495707559,2.752147511700938e-19
Gunning_Fog,Novelty & Engagement,0.05023927407197588,0.010478385979021376
