No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,12.39,4.89,-0.439,-0.088,0.261
2,2. Empirical,82.8,8.77,0.321,0.172,0.132
3,3. Well written,86.78,3.85,0.45,0.46,0.203
4,4. Dull,13.79,4.8,-0.535,-0.359,-0.103
5,5. Easy to understand,78.54,4.91,0.589,0.228,0.205
6,6. Unethical,4.76,5.25,-0.191,-0.048,-0.122
7,7. Speculation-driven,17.85,8.22,-0.633,-0.022,0.048
8,8. Unprovocative,34.72,12.99,-0.456,0.055,0.366
9,9. Nontechnical,13.96,6.76,-0.284,-0.266,0.16
10,10. Poorly-sourced,11.47,7.26,-0.546,-0.171,-0.035
11,11. Narrow,30.32,7.64,-0.457,-0.242,-0.406
12,12. Inconsequential,12.89,5.26,-0.403,-0.343,-0.573
13,13. Unreliable,11.44,4.3,-0.648,-0.274,-0.049
14,14. Unbalanced,35.46,26.03,-0.047,-0.004,-0.788
15,15. Derivative,19.9,6.07,-0.58,-0.378,-0.134
16,16. Incoherent,9.53,2.62,-0.616,-0.247,-0.171
17,17. Unstructured,22.1,25.0,0.008,0.021,-0.706
18,18. Non-replicable,29.75,27.0,-0.012,-0.028,-0.834
19,19. Subjective,16.28,5.94,-0.516,-0.291,-0.015
20,20. Irrelevant,9.29,5.39,-0.248,-0.174,-0.276
21,21. Uninsightful,13.85,5.26,-0.552,-0.38,-0.322
22,22. Superficial,21.24,5.45,-0.717,-0.375,-0.212
23,23. Unconvincing,16.29,5.91,-0.659,-0.402,-0.184
24,24. Verbose,20.83,6.07,-0.708,-0.118,0.308
25,25. Haphazard,13.39,4.19,-0.765,-0.293,0.091
26,26. Inaccessible,21.27,8.35,-0.569,-0.081,-0.356
27,27. Conventional,35.99,9.45,-0.589,-0.251,-0.053
28,28. Lax,14.38,5.47,-0.757,-0.285,0.076
29,29. Uncontroversial,46.17,12.91,-0.46,-0.016,0.288
30,30. Disengaging,22.09,5.48,-0.688,-0.361,-0.159
31,31. To the point,80.4,5.11,0.578,0.401,-0.228
32,32. Theoretical,74.87,8.86,-0.218,0.41,-0.301
33,33. Not well written,11.52,3.57,-0.584,-0.381,-0.114
34,34. Exciting,66.86,6.42,0.109,0.751,0.028
35,35. Difficult to understand,28.55,8.47,-0.62,0.037,-0.279
36,36. Ethical,93.64,5.17,0.236,0.193,0.09
37,37. Hypothesis-driven,79.99,4.54,0.242,0.574,-0.147
38,38. Provocative,56.11,7.1,-0.16,0.498,-0.169
39,39. Technical,85.59,5.09,0.113,0.611,-0.241
40,40. Well-sourced,78.42,6.11,0.436,0.49,-0.148
41,41. Interdisciplinary,55.4,8.84,-0.222,0.507,-0.013
42,42. Impactful,78.42,4.97,0.185,0.796,0.126
43,43. Authoritative,77.65,5.11,0.292,0.623,-0.239
44,44. Balanced,75.46,5.5,0.399,0.54,-0.369
45,45. Original,73.52,5.92,0.044,0.771,0.126
46,46. Coherent,86.94,3.62,0.464,0.636,-0.047
47,47. Structured,84.38,4.47,0.443,0.609,-0.056
48,48. Replicable,76.26,6.47,0.478,0.458,-0.307
49,49. Objective,78.93,5.57,0.293,0.548,-0.034
50,50. Relevant,88.27,3.39,0.31,0.683,0.074
51,51. Insightful,81.85,4.0,0.293,0.81,0.02
52,52. Comprehensive,74.8,5.16,0.269,0.776,0.058
53,53. Persuasive,79.82,4.63,0.273,0.756,0.245
54,54. Concise,76.37,5.33,0.461,0.311,-0.253
55,55. Methodical,82.51,4.14,0.441,0.641,-0.234
56,56. Accessible,71.34,5.47,0.42,0.29,0.203
57,57. Innovative,79.13,5.58,0.044,0.767,0.174
58,58. Rigorous,84.12,3.88,0.261,0.679,-0.286
59,59. Controversial,40.7,8.42,-0.311,0.195,-0.389
60,60. Engaging,73.73,4.92,0.213,0.76,0.054
