Readability,Target,rho,p
n_sentences,score_mean,0.06595075681982202,0.005994518989595468
n_sentences,score_weighted,0.06651647049570791,0.005576342633173263
n_sentences,score_median,0.06633329143898636,0.005708776643437304
n_sentences,accept,0.06394236824245396,0.0077167133430192675
n_sentences,cites,0.09590727151011483,6.30208685775032e-05
n_sentences,TNCSI,0.06802637659377248,0.00458590899132466
n_sentences,TNCSI_SP,0.05677862924027717,0.018019230601808534
n_words,score_mean,0.036019428075246177,0.13368318329081952
n_words,score_weighted,0.03510986486608755,0.1437851876694148
n_words,score_median,0.038887936657049794,0.10539193636601679
n_words,accept,0.011852130976242815,0.6217707672139786
n_words,cites,0.06320080404234718,0.008456970687510564
n_words,TNCSI,0.06036640913269982,0.0119051430923739
n_words,TNCSI_SP,0.03673733465747116,0.1261044083665432
n_characters,score_mean,0.034436380725908426,0.15163464249452108
n_characters,score_weighted,0.033517188179904754,0.16286859837160514
n_characters,score_median,0.04107424307440295,0.0871978819422219
n_characters,accept,0.012746907106390062,0.5957028976832515
n_characters,cites,0.050798859829502975,0.03436328244990742
n_characters,TNCSI,0.048084162418094684,0.045222340054909264
n_characters,TNCSI_SP,0.022221071951180057,0.3549509194902537
n_syllables,score_mean,0.03092280215057926,0.19794887937734917
n_syllables,score_weighted,0.02966524860402903,0.21681647845299765
n_syllables,score_median,0.0360139440864746,0.13374240243476748
n_syllables,accept,0.011458175978342955,0.6334027927322532
n_syllables,cites,0.04112869766389691,0.08677929512205972
n_syllables,TNCSI,0.043350845545311885,0.0710348798474931
n_syllables,TNCSI_SP,0.016301832280511887,0.4974031730666739
n_polysyllables,score_mean,0.015825447425752672,0.5100571030870134
n_polysyllables,score_weighted,0.01412168282375762,0.5566527729746165
n_polysyllables,score_median,0.022967321030313126,0.3390206682049043
n_polysyllables,accept,0.000354445949607959,0.988229064787573
n_polysyllables,cites,0.006933910814459945,0.7728754031326208
n_polysyllables,TNCSI,0.025100023956369955,0.29606422831793117
n_polysyllables,TNCSI_SP,-0.005880280811014967,0.8066431371788023
ARI,score_mean,-0.0427224432057411,0.07522962592750358
ARI,score_weighted,-0.044622684132901894,0.06313075144884586
ARI,score_median,-0.03461778258611633,0.14948900593967596
ARI,accept,-0.05843671523426132,0.014916085880099015
ARI,cites,-0.07726633952246575,0.0012779014730990945
ARI,TNCSI,-0.04939874322419093,0.039648210023611186
ARI,TNCSI_SP,-0.0642834301854627,0.0073961606804937435
SMOG,score_mean,-0.05200677975234865,0.030298936975695925
SMOG,score_weighted,-0.05469976199399512,0.022697330599808246
SMOG,score_median,-0.04474625226643752,0.06240312228751688
SMOG,accept,-0.06820945299593964,0.004477329761300358
SMOG,cites,-0.09581162247962285,6.409734157143638e-05
SMOG,TNCSI,-0.0512965050230133,0.03263566465511864
SMOG,TNCSI_SP,-0.07164355815859455,0.0028276398114864985
Flesch_Kincaid_Grade,score_mean,-0.045955850730481966,0.055639855003085006
Flesch_Kincaid_Grade,score_weighted,-0.048513450982846235,0.04333360281526913
Flesch_Kincaid_Grade,score_median,-0.03955980824980579,0.09950563649719042
Flesch_Kincaid_Grade,accept,-0.062571809602808,0.009133916640310942
Flesch_Kincaid_Grade,cites,-0.10468243624181905,1.2468042091250456e-05
Flesch_Kincaid_Grade,TNCSI,-0.06641190842360671,0.005651595138781324
Flesch_Kincaid_Grade,TNCSI_SP,-0.08371942349812418,0.00048155998919750034
Flesch_Reading_Ease,score_mean,0.034976896431543746,0.14530974860398238
Flesch_Reading_Ease,score_weighted,0.03719628623556788,0.12143736570073692
Flesch_Reading_Ease,score_median,0.027883349577842824,0.24571387097799158
Flesch_Reading_Ease,accept,0.04343064421798277,0.07051618535826679
Flesch_Reading_Ease,cites,0.11734477119033232,9.524368396318356e-07
Flesch_Reading_Ease,TNCSI,0.0814804440922817,0.0006809521566521477
Flesch_Reading_Ease,TNCSI_SP,0.09483994966259494,7.606435275927276e-05
Coleman_Liau,score_mean,-0.015056956597317305,0.5308192392856722
Coleman_Liau,score_weighted,-0.015976981621485496,0.5060138241473633
Coleman_Liau,score_median,-0.00022787297775193384,0.9924323155716448
Coleman_Liau,accept,-0.01241222927962047,0.6053949276471327
Coleman_Liau,cites,-0.07962300527431924,0.0009019678029505328
Coleman_Liau,TNCSI,-0.07023081340620567,0.003424101392661217
Coleman_Liau,TNCSI_SP,-0.07187969066366773,0.002737740852536455
Gunning_Fog,score_mean,-0.05006835980737405,0.0370403671226842
Gunning_Fog,score_weighted,-0.052728121540919694,0.028074277563919427
Gunning_Fog,score_median,-0.04332719661587346,0.07118919778842765
Gunning_Fog,accept,-0.06427286267879634,0.007405910765875581
Gunning_Fog,cites,-0.0964465840288613,5.726424284575351e-05
Gunning_Fog,TNCSI,-0.051193502731281905,0.0329870160390583
Gunning_Fog,TNCSI_SP,-0.07264591681200551,0.002463698418588063
