Item_No,Item,rho,p
42,42. Impactful,0.25763913282101053,1.0927367138937703e-31
3,3. Well written,0.25316368213700796,1.2795800670476888e-30
60,60. Engaging,0.243600208639511,2.090683030426455e-28
47,47. Structured,0.2400226233637246,1.330136098220507e-27
46,46. Coherent,0.22996094669996808,2.0596696103562759e-25
51,51. Insightful,0.22873768855970755,3.7413648121019707e-25
53,53. Persuasive,0.22339479107959764,4.871179306748763e-24
34,34. Exciting,0.21980842700408676,2.6288052925467143e-23
43,43. Authoritative,0.21919002260835035,3.5051254767853804e-23
50,50. Relevant,0.20498699147789184,2.0430616475038545e-20
52,52. Comprehensive,0.18985241226775165,1.0983179878654518e-17
44,44. Balanced,0.1818646006343815,2.4730012260113963e-16
31,31. To the point,0.16838930326196502,3.453491104142456e-14
55,55. Methodical,0.1655328258517581,9.35716242683635e-14
58,58. Rigorous,0.16416366321475911,1.4995052163225392e-13
49,49. Objective,0.15681319494585086,1.7612872665286106e-12
45,45. Original,0.14795343503352687,2.9475702332711764e-11
57,57. Innovative,0.14470178767437,7.954446204840067e-11
38,38. Provocative,0.13594809765817423,1.0322473329152768e-09
54,54. Concise,0.13209015105153427,3.0375410087904564e-09
2,2. Empirical,0.12562579426780215,1.7304951338276788e-08
48,48. Replicable,0.12497538721120041,2.0518405389192044e-08
40,40. Well-sourced,0.11759783036103803,1.3336826862175021e-07
18,18. Non-replicable,0.1090001979766036,1.028248371149995e-06
5,5. Easy to understand,0.099933789549958,7.548925105194635e-06
56,56. Accessible,0.09476083617610495,2.188484636072017e-05
59,59. Controversial,0.0741264306673554,0.0009081813497122173
14,14. Unbalanced,0.0715647533705668,0.0013620292610062041
41,41. Interdisciplinary,0.034036322730430314,0.12809934167013412
39,39. Technical,0.03034840531078909,0.17488102797028973
10,10. Poorly-sourced,0.00485136248271425,0.8283446011517935
36,36. Ethical,-0.0077445237341336685,0.7292417927199099
9,9. Nontechnical,-0.012236359873506138,0.5844439949520841
6,6. Unethical,-0.022948573635006138,0.30499299624806325
7,7. Speculation-driven,-0.030076343233103188,0.17878087199424872
37,37. Hypothesis-driven,-0.0439326053572342,0.04947839408438707
27,27. Conventional,-0.07210693486897005,0.001251369186457757
19,19. Subjective,-0.0760226737398507,0.000667389655655357
26,26. Inaccessible,-0.07893869207862879,0.000410013045616012
13,13. Unreliable,-0.08860903256993058,7.246432709561565e-05
35,35. Difficult to understand,-0.09182036934110147,3.914749216127689e-05
32,32. Theoretical,-0.10082931698427103,6.244927219546717e-06
24,24. Verbose,-0.10647218750014648,1.822475632749175e-06
22,22. Superficial,-0.10741123533978839,1.4756341499506268e-06
16,16. Incoherent,-0.11637321042308034,1.8003269200896733e-07
11,11. Narrow,-0.11955945745320654,8.19578221735696e-08
17,17. Unstructured,-0.11994838885950045,7.434669097408548e-08
1,1. Circumlocutory,-0.12128536335736063,5.305635176140811e-08
29,29. Uncontroversial,-0.1216540735275205,4.831162975041707e-08
15,15. Derivative,-0.1283669344937007,8.36153245496476e-09
20,20. Irrelevant,-0.1349248645196359,1.3784929304134169e-09
23,23. Unconvincing,-0.1362102633837044,9.581797482392268e-10
8,8. Unprovocative,-0.15130635014141172,1.0347189934380466e-11
21,21. Uninsightful,-0.15195500161399003,8.427222629576022e-12
25,25. Haphazard,-0.16057324649728755,5.067240097842611e-13
12,12. Inconsequential,-0.16457290458096122,1.3029101055125646e-13
28,28. Lax,-0.16547872167649094,9.533892396911515e-14
33,33. Not well written,-0.17277174762311007,7.233331631663592e-15
4,4. Dull,-0.1770344919755662,1.5195405089856118e-15
30,30. Disengaging,-0.21617903394409452,1.4048385589971356e-22
