No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.48,6.95,-0.505,-0.578,0.016
2,2. Empirical,73.88,12.63,0.107,0.346,0.335
3,3. Well written,77.08,5.66,0.453,0.52,0.5
4,4. Dull,13.97,4.82,-0.501,-0.16,-0.485
5,5. Easy to understand,54.65,14.29,0.017,0.918,0.145
6,6. Unethical,0.19,2.85,-0.058,0.066,0.093
7,7. Speculation-driven,22.37,6.48,-0.588,-0.175,0.029
8,8. Unprovocative,21.46,7.64,-0.377,-0.038,-0.502
9,9. Nontechnical,17.71,7.29,-0.353,0.66,-0.062
10,10. Poorly-sourced,28.55,12.01,-0.422,0.082,0.067
11,11. Narrow,37.12,5.29,-0.268,0.09,-0.399
12,12. Inconsequential,19.41,5.11,-0.542,-0.022,-0.563
13,13. Unreliable,28.2,14.07,-0.503,-0.046,0.028
14,14. Unbalanced,50.52,22.09,-0.264,0.189,0.222
15,15. Derivative,25.34,5.29,-0.499,0.144,-0.452
16,16. Incoherent,14.43,16.57,-0.496,0.004,0.21
17,17. Unstructured,14.84,16.39,-0.504,0.005,0.207
18,18. Non-replicable,52.12,14.68,-0.073,0.38,0.361
19,19. Subjective,17.18,5.55,-0.736,-0.012,-0.154
20,20. Irrelevant,8.09,4.37,-0.355,-0.029,-0.211
21,21. Uninsightful,25.54,7.35,-0.603,0.066,-0.292
22,22. Superficial,25.25,4.96,-0.688,0.141,-0.408
23,23. Unconvincing,28.35,12.19,-0.636,-0.006,-0.006
24,24. Verbose,22.17,9.38,-0.49,-0.66,0.017
25,25. Haphazard,11.33,4.17,-0.677,-0.321,-0.182
26,26. Inaccessible,36.98,16.34,-0.005,-0.89,-0.068
27,27. Conventional,33.43,7.52,-0.25,0.391,-0.531
28,28. Lax,13.14,5.19,-0.685,-0.076,-0.324
29,29. Uncontroversial,28.92,10.79,-0.273,0.121,-0.566
30,30. Disengaging,20.39,5.14,-0.546,-0.309,-0.529
31,31. To the point,70.74,8.72,0.4,0.754,0.19
32,32. Theoretical,64.04,16.26,0.049,-0.568,-0.103
33,33. Not well written,11.09,4.67,-0.615,-0.334,-0.272
34,34. Exciting,55.83,8.4,-0.037,0.229,0.727
35,35. Difficult to understand,42.2,17.88,-0.009,-0.927,-0.083
36,36. Ethical,99.2,3.92,0.071,-0.12,-0.042
37,37. Hypothesis-driven,57.63,8.8,-0.124,0.104,0.211
38,38. Provocative,44.79,9.52,-0.339,0.1,0.544
39,39. Technical,83.28,5.77,0.321,-0.676,0.225
40,40. Well-sourced,45.37,12.16,0.018,0.15,0.447
41,41. Interdisciplinary,32.27,12.95,-0.186,-0.01,0.282
42,42. Impactful,68.15,6.69,0.105,0.213,0.8
43,43. Authoritative,62.43,6.1,0.209,0.1,0.698
44,44. Balanced,64.96,7.84,0.109,0.384,0.543
45,45. Original,70.86,6.89,0.138,-0.154,0.71
46,46. Coherent,81.21,5.59,0.449,0.452,0.51
47,47. Structured,80.4,5.4,0.489,0.399,0.501
48,48. Replicable,56.96,9.83,0.059,0.428,0.428
49,49. Objective,73.88,6.4,0.524,0.154,0.41
50,50. Relevant,90.62,3.12,0.329,0.164,0.524
51,51. Insightful,67.64,5.46,0.138,0.053,0.776
52,52. Comprehensive,58.25,6.61,0.133,0.03,0.625
53,53. Persuasive,64.06,6.2,0.159,0.291,0.774
54,54. Concise,65.7,12.54,0.317,0.765,0.062
55,55. Methodical,74.35,6.09,0.502,0.159,0.517
56,56. Accessible,55.55,13.56,0.0,0.912,0.157
57,57. Innovative,73.72,7.5,0.134,-0.161,0.684
58,58. Rigorous,71.4,6.52,0.445,-0.128,0.545
59,59. Controversial,19.9,9.18,-0.376,0.095,0.265
60,60. Engaging,62.67,7.69,-0.022,0.44,0.743
