Item_No,Item,rho,p
22,22. Impactful,0.33558320193774893,4.904037779433755e-86
56,56. Persuasive,0.32190201328032214,6.215100401495795e-79
31,31. Relevant,0.3158048048280898,6.953918314316761e-76
43,43. Comprehensive,0.30371461947770423,4.7793028480227885e-70
37,37. Authoritative,0.30231269530148136,2.1803309128609565e-69
33,33. Well written,0.29761003572957667,3.334918069030391e-67
1,1. Insightful,0.2885048484257342,4.3417934562313e-63
25,25. Engaging,0.2741442345902702,6.66560292800001e-57
6,6. Balanced,0.27223567101991203,4.154014765170893e-56
20,20. Coherent,0.27095407079171013,1.407579401484607e-55
29,29. Exciting,0.2668513064401073,6.696703877929865e-54
60,60. Exciting,0.26274584689562613,2.9857655096599808e-52
48,48. Structured,0.2454094627820846,1.3199156545035284e-45
3,3. Well-sourced,0.24190084846217477,2.5329163148851865e-44
41,41. Original,0.21327665785667854,1.2955163240722703e-34
11,11. Innovative,0.2113600512719143,5.188182430786477e-34
14,14. Rigorous,0.2093385347187564,2.2090569555970584e-33
16,16. Replicable,0.18788970630089077,4.18922845037866e-27
27,27. Methodical,0.18114974977024828,2.796379702515197e-25
46,46. To the point,0.1792715301090933,8.760738331597604e-25
53,53. Objective,0.1761569394610219,5.662635432906668e-24
9,9. Concise,0.17029251803278908,1.733117394649009e-22
19,19. Empirical,0.1509970070733744,5.762411583565669e-18
34,34. Hypothesis-driven,0.14983096692025524,1.0375280484625474e-17
17,17. Provocative,0.13959787076699473,1.482457825407868e-15
36,36. Accessible,0.11505261291328371,5.1977128356637784e-11
5,5. Technical,0.08707127724312842,6.998678602119771e-07
40,40. Easy to understand,0.07554405390375497,1.6885069168854802e-05
8,8. Ethical,0.03042443357292367,0.08350185032189919
59,59. Theoretical,0.007885598078235375,0.653805409239492
51,51. Controversial,-0.013873232289507039,0.43008531808163797
30,30. Speculation-driven,-0.0211072663232113,0.22992183680801268
39,39. Interdisciplinary,-0.028760261028612916,0.10183726587302643
55,55. Unethical,-0.035740811185821474,0.04201972024918131
23,23. Nontechnical,-0.053383437044050124,0.0023797637745531595
44,44. Verbose,-0.07327116045106481,3.0096410737301383e-05
12,12. Subjective,-0.09939252844110086,1.455278912375354e-08
45,45. Conventional,-0.11463583489814055,6.101935272481899e-11
49,49. Difficult to understand,-0.1178284251458321,1.7601152501579077e-11
18,18. Inaccessible,-0.12995063190346812,1.1525158899172554e-13
13,13. Circumlocutory,-0.13606162307971592,7.582648352034904e-15
54,54. Derivative,-0.16495148782400954,3.52013408043335e-21
57,57. Incoherent,-0.18021260496203775,4.951391692065203e-25
24,24. Unstructured,-0.18576938309865448,1.5983124989951742e-26
38,38. Not well written,-0.1872658165738162,6.2225394342007035e-27
2,2. Haphazard,-0.18746549374413898,5.483244771486153e-27
52,52. Non-replicable,-0.20073869060027724,8.877165654268994e-31
10,10. Unreliable,-0.2008291513507602,8.346252779788997e-31
32,32. Lax,-0.20111800922822748,6.853031863681124e-31
42,42. Unbalanced,-0.20778245344409582,6.66950861826582e-33
26,26. Narrow,-0.21490536227981613,3.9423772876410676e-35
21,21. Poorly-sourced,-0.21776016976840507,4.784330582669602e-36
50,50. Irrelevant,-0.22825349158815264,1.5840915741092338e-39
4,4. Disengaging,-0.2305762909386313,2.5419498495964666e-40
7,7. Superficial,-0.23131175820084376,1.4181525353596653e-40
28,28. Unconvincing,-0.23547159708838708,5.028755990811352e-42
58,58. Uninsightful,-0.2367684739915209,1.7517778860132136e-42
47,47. Unprovocative,-0.24370433798666344,5.5805049389726556e-45
15,15. Dull,-0.2547661109093858,3.958106424916681e-49
35,35. Inconsequential,-0.2998851398934841,2.9601011011409094e-68
