Item_No,Item,rho,p
1,1. Insightful,0.22506525571955038,1.9383476013217693e-38
17,17. Provocative,0.17799781525691846,1.917963515806551e-24
11,11. Innovative,0.16980896077636898,2.3196622983175647e-22
22,22. Impactful,0.16637958832605954,1.611705496978628e-21
60,60. Exciting,0.161062980929561,3.0012776617417655e-20
3,3. Well-sourced,0.15988655293028115,5.656912389165143e-20
29,29. Exciting,0.15591908919193415,4.630494625691625e-19
41,41. Original,0.15270660746622677,2.441668043745613e-18
34,34. Hypothesis-driven,0.1485982117072841,1.9441325497541602e-17
56,56. Persuasive,0.12771005909386665,3.054670882833947e-13
5,5. Technical,0.1276985580194458,3.069723295717082e-13
44,44. Verbose,0.11890986944611755,1.1547464530673662e-11
13,13. Circumlocutory,0.11583805442686008,3.8624612730908064e-11
16,16. Replicable,0.11534546544474678,4.6740385696033144e-11
50,50. Irrelevant,0.11446521699984341,6.55902212327539e-11
58,58. Uninsightful,0.11430368326219188,6.977846277370744e-11
32,32. Lax,0.11395094000359186,7.985365222359727e-11
25,25. Engaging,0.1126187511256879,1.324038558022169e-10
38,38. Not well written,0.11207356672836885,1.625700397269368e-10
31,31. Relevant,0.11168230581580624,1.8825720474250528e-10
18,18. Inaccessible,0.11113267579954984,2.311434792758268e-10
24,24. Unstructured,0.11077083945058595,2.64437511235199e-10
28,28. Unconvincing,0.10971744004311944,3.902996982789686e-10
35,35. Inconsequential,0.10951273424563794,4.2079527414020487e-10
52,52. Non-replicable,0.10912929903765546,4.842944405382598e-10
39,39. Interdisciplinary,0.10834722005721392,6.441082892764702e-10
57,57. Incoherent,0.10820552845901983,6.781158903577924e-10
19,19. Empirical,0.10801938543617495,7.254635935840651e-10
47,47. Unprovocative,0.10774101497703413,8.023397433837496e-10
51,51. Controversial,0.10757024201846936,8.533727245383333e-10
30,30. Speculation-driven,0.10735392261818996,9.225761846885847e-10
26,26. Narrow,0.10687263612283096,1.0967461524079488e-09
49,49. Difficult to understand,0.10646365265449156,1.2696049551947825e-09
15,15. Dull,0.10624395911853114,1.3731386232343603e-09
40,40. Easy to understand,0.10443268514733793,2.6049331270711116e-09
59,59. Theoretical,0.10383472917651192,3.21054491007062e-09
10,10. Unreliable,0.10259089741712533,4.9407922657166154e-09
33,33. Well written,0.10256437296990471,4.986147682197939e-09
46,46. To the point,0.10175386971034435,6.584937835941665e-09
55,55. Unethical,0.09876498287332543,1.8028448137428017e-08
42,42. Unbalanced,0.09590020703683845,4.6067158127487044e-08
4,4. Disengaging,0.09569581893620538,4.920610470805839e-08
2,2. Haphazard,0.09532250801224648,5.548240938058259e-08
21,21. Poorly-sourced,0.09386747876710481,8.820593196752058e-08
37,37. Authoritative,0.09331472472353763,1.0500464359141412e-07
7,7. Superficial,0.08907496339159474,3.870108130217369e-07
54,54. Derivative,0.08243887665354155,2.6558059144023844e-06
43,43. Comprehensive,0.08131304356460971,3.631222086800922e-06
53,53. Objective,0.08067831661137499,4.3238941731439695e-06
23,23. Nontechnical,0.07693189626932787,1.180602916637402e-05
8,8. Ethical,0.07529869138040578,1.803999833877602e-05
20,20. Coherent,0.07328254600662452,3.0095755151386483e-05
12,12. Subjective,0.069505473980154,7.585357283465584e-05
6,6. Balanced,0.06936107811274643,7.851250716605604e-05
45,45. Conventional,0.06928343747844107,7.997836734265362e-05
36,36. Accessible,0.06845989286514155,9.720380529242377e-05
48,48. Structured,0.05397661314367336,0.0021294446318113054
9,9. Concise,0.0502924856437488,0.0042146010421156704
27,27. Methodical,0.03884802394314719,0.027113265614616678
14,14. Rigorous,0.019448958631931242,0.26870586549512815
