Component,Target,rho,p,n
Quality & Reliability,cites,-0.07240933248673902,3.741521414549618e-05,3236
Quality & Reliability,TNCSI,-0.05651400470379357,0.001299113039720969,3236
Quality & Reliability,TNCSI_SP,-0.04853833318511988,0.005750033710184879,3236
Quality & Reliability,Ref_num,-0.11428147896827455,7.037423653635954e-11,3236
Quality & Reliability,RQM,-0.04325904906638221,0.01385391348025097,3236
Quality & Reliability,SMP,0.04119324244090604,0.019108784664203113,3236
Quality & Reliability,ARQ,-0.024390003929229773,0.1654062678853349,3236
Quality & Reliability,OA,-0.013502755229552877,0.4425739529316969,3236
Quality & Reliability,is_practical,0.0777150437483875,9.605302230607667e-06,3236
Quality & Reliability,new_task,-0.024414855149741406,0.16497566089621768,3236
Quality & Reliability,new_dataset,-0.014455393398700505,0.4110583438429932,3236
Quality & Reliability,SOTA,0.026283393130086746,0.1349578361866875,3236
Quality & Reliability,is_broad,0.040092395031551,0.022564676424978412,3236
Accessibility & Understandability,cites,0.11340557114342159,9.828866200162646e-11,3236
Accessibility & Understandability,TNCSI,0.08663547149134349,7.985948116049193e-07,3236
Accessibility & Understandability,TNCSI_SP,0.12463054849404749,1.1213174600017553e-12,3236
Accessibility & Understandability,Ref_num,0.07102051821914797,5.263483178260197e-05,3236
Accessibility & Understandability,RQM,0.02318020775032731,0.18740541396612606,3236
Accessibility & Understandability,SMP,-0.028378786302067718,0.10651598430628224,3236
Accessibility & Understandability,ARQ,0.01807825104915047,0.30391060784589763,3236
Accessibility & Understandability,OA,0.09755554170556102,2.687663740611371e-08,3236
Accessibility & Understandability,is_practical,0.055240242316533975,0.0016689794948682214,3236
Accessibility & Understandability,new_task,0.054761957186931755,0.0018312627181640187,3236
Accessibility & Understandability,new_dataset,0.07313631308400637,3.1218388045265454e-05,3236
Accessibility & Understandability,SOTA,0.1383744504844596,2.645787378121172e-15,3236
Accessibility & Understandability,is_broad,0.005526167075492181,0.7533375029566917,3236
Novelty & Engagement,cites,0.18322542161029057,7.937451347037805e-26,3236
Novelty & Engagement,TNCSI,0.16460459328452934,4.325465889711569e-21,3236
Novelty & Engagement,TNCSI_SP,0.1767040415284369,4.1560615125858126e-24,3236
Novelty & Engagement,Ref_num,0.18988063629635757,1.1961503799668553e-27,3236
Novelty & Engagement,RQM,0.09831519705711542,2.092626392467066e-08,3236
Novelty & Engagement,SMP,-0.10400109382388201,3.0295071693763453e-09,3236
Novelty & Engagement,ARQ,0.058145739499022124,0.0009356571310686202,3236
Novelty & Engagement,OA,0.08373935529800025,1.8411273186831552e-06,3236
Novelty & Engagement,is_practical,0.011480312806014954,0.5138616512356543,3236
Novelty & Engagement,new_task,0.07838830515824771,8.031850757996572e-06,3236
Novelty & Engagement,new_dataset,0.09206775713099008,1.550368442063327e-07,3236
Novelty & Engagement,SOTA,0.1498571345397086,1.0358290670809088e-17,3236
Novelty & Engagement,is_broad,0.017344476650086565,0.32396222341020897,3236
