Component,Target,rho,p,n
Quality & Reliability,cites,0.2049935216756082,2.037302151131062e-20,2000
Quality & Reliability,TNCSI,0.1599211486925408,6.302887351959688e-13,2000
Quality & Reliability,TNCSI_SP,0.19477351871820728,1.5036584693554002e-18,2000
Quality & Reliability,Ref_num,0.0692844679069023,0.0019333486563754305,2000
Quality & Reliability,RQM,0.05957117695981181,0.007703293188396715,2000
Quality & Reliability,SMP,-0.05922674336888305,0.008064189028033669,2000
Quality & Reliability,ARQ,0.052365391248443985,0.019181008865419416,2000
Quality & Reliability,OA,0.14289684956946203,1.3670855516047507e-10,2000
Quality & Reliability,is_practical,0.2055880567685185,1.574920642681024e-20,2000
Quality & Reliability,new_task,0.049580791010414176,0.026602743790249055,2000
Quality & Reliability,new_dataset,0.09269113497722141,3.3012695270906164e-05,2000
Quality & Reliability,SOTA,0.2199555944345134,2.4545279137277823e-23,2000
Quality & Reliability,is_broad,-0.014203508437763255,0.5255359589917642,2000
Accessibility & Understandability,cites,0.09965249613032623,8.00962245971245e-06,2000
Accessibility & Understandability,TNCSI,0.09563021130322154,1.8367840435207033e-05,2000
Accessibility & Understandability,TNCSI_SP,0.09115480743643227,4.4549986722967415e-05,2000
Accessibility & Understandability,Ref_num,-0.05763712765686148,0.009933300231730037,2000
Accessibility & Understandability,RQM,0.08725333816149455,9.340987299900959e-05,2000
Accessibility & Understandability,SMP,-0.15009333167884736,1.5152540957687263e-11,2000
Accessibility & Understandability,ARQ,0.016666594966648525,0.4563088725928961,2000
Accessibility & Understandability,OA,0.03856100817311594,0.08469632752162387,2000
Accessibility & Understandability,is_practical,0.14095423511808908,2.4301333903156823e-10,2000
Accessibility & Understandability,new_task,0.08734567039448968,9.181890029164539e-05,2000
Accessibility & Understandability,new_dataset,0.2356919636334471,1.1997651519756284e-26,2000
Accessibility & Understandability,SOTA,-0.16167681867017514,3.495405327398212e-13,2000
Accessibility & Understandability,is_broad,0.09053560253984687,5.0204486401881435e-05,2000
Novelty & Engagement,cites,0.2838787385966323,2.2033135631977389e-38,2000
Novelty & Engagement,TNCSI,0.1933911223484593,2.642933826322191e-18,2000
Novelty & Engagement,TNCSI_SP,0.2101539989473691,2.123989110446195e-21,2000
Novelty & Engagement,Ref_num,0.3487524787915339,2.768070765313211e-58,2000
Novelty & Engagement,RQM,0.11136512196656627,5.950292360704944e-07,2000
Novelty & Engagement,SMP,-0.10613906740027587,1.9633685404015914e-06,2000
Novelty & Engagement,ARQ,0.07842220984081907,0.0004474963411361371,2000
Novelty & Engagement,OA,0.0705145713081691,0.0016024285450314299,2000
Novelty & Engagement,is_practical,-0.2079432534647477,5.636268948935087e-21,2000
Novelty & Engagement,new_task,0.07807154564892542,0.00047474130652645454,2000
Novelty & Engagement,new_dataset,-0.018969870492410116,0.3964912615794375,2000
Novelty & Engagement,SOTA,0.14501540536571336,7.23509720930695e-11,2000
Novelty & Engagement,is_broad,0.03748596907483687,0.09374515293998444,2000
