Readability,Target,rho,p
n_sentences,cites,0.1124507933473639,4.611566275600613e-07
n_sentences,TNCSI,0.12402321207714591,2.6288280865440002e-08
n_sentences,TNCSI_SP,0.10290806352783959,3.996603103036354e-06
n_sentences,Ref_num,0.1063524063724199,1.8719810382206183e-06
n_sentences,RQM,0.06264407107221483,0.005070360846992232
n_sentences,SMP,0.03472997556400945,0.12050220966069772
n_sentences,ARQ,0.08901817506392817,6.707179663214151e-05
n_sentences,OA,0.05650048419568272,0.011497022624967308
n_sentences,is_practical,0.04794730151234629,0.032019975783122503
n_sentences,new_task,0.040867274118152296,0.0676605657632006
n_sentences,new_dataset,0.03260451008422728,0.14495249984311206
n_sentences,SOTA,0.08913873935416766,6.555659557983246e-05
n_sentences,is_broad,-0.0392607830824984,0.07919524031230593
n_words,cites,0.1251581663727837,1.9561102211678875e-08
n_words,TNCSI,0.13442957394567986,1.5844320356176751e-09
n_words,TNCSI_SP,0.12400046835540611,2.644374474287166e-08
n_words,Ref_num,0.19403713243877654,2.031669307759929e-18
n_words,RQM,0.059087809403027526,0.008213993834052634
n_words,SMP,0.021610079475328635,0.33407383851162253
n_words,ARQ,0.07828785351454579,0.0004577581446641091
n_words,OA,0.005092776559927135,0.8199455738715203
n_words,is_practical,-0.03298511337187661,0.1403152366517378
n_words,new_task,0.03699824363148652,0.09809832834541037
n_words,new_dataset,-0.002608501611475432,0.9071905051532766
n_words,SOTA,0.06822295889959268,0.0022681288309565673
n_words,is_broad,-0.02857692940078629,0.20143952839638765
n_characters,cites,0.13632644674794805,9.270361130493204e-10
n_characters,TNCSI,0.13784112027701764,6.010401705169027e-10
n_characters,TNCSI_SP,0.13035341333839243,4.88868975703778e-09
n_characters,Ref_num,0.22591008493605147,1.4671738550183268e-24
n_characters,RQM,0.06004584489452261,0.007229646446586781
n_characters,SMP,0.006094577513462952,0.7853222192334299
n_characters,ARQ,0.07194529017152326,0.0012834607835530048
n_characters,OA,0.01273889001268234,0.5691068243149309
n_characters,is_practical,-0.060199941207759934,0.007081595568001584
n_characters,new_task,0.037336474561430404,0.09506268922700803
n_characters,new_dataset,-0.02042351402041674,0.3612996048031416
n_characters,SOTA,0.05895567635667823,0.008358769289894888
n_characters,is_broad,-0.013271315001449863,0.5530698505517995
n_syllables,cites,0.1275505985964056,1.0400563112599578e-08
n_syllables,TNCSI,0.13213080459041665,3.003669657072145e-09
n_syllables,TNCSI_SP,0.1263777339714293,1.4196523789765624e-08
n_syllables,Ref_num,0.21680937435165698,1.0523281654083698e-22
n_syllables,RQM,0.04756264045970856,0.033425078362725895
n_syllables,SMP,0.022177733242917413,0.32152923495627306
n_syllables,ARQ,0.06469267955903213,0.0037992259359622893
n_syllables,OA,0.006277106294046635,0.7790571121261585
n_syllables,is_practical,-0.06176586789954828,0.005724380063753755
n_syllables,new_task,0.03307831899139438,0.13919719176917505
n_syllables,new_dataset,-0.02066774085775636,0.3555850957316572
n_syllables,SOTA,0.04915769868925731,0.027923904354344425
n_syllables,is_broad,-0.014216119643273501,0.5251683260814894
n_polysyllables,cites,0.10661011068408077,1.767028908593809e-06
n_polysyllables,TNCSI,0.10110306749310924,5.8913384712974375e-06
n_polysyllables,TNCSI_SP,0.10892427838950167,1.046269586559811e-06
n_polysyllables,Ref_num,0.19932687214975486,2.2769228386351174e-19
n_polysyllables,RQM,0.005460293365263099,0.8071991451120153
n_polysyllables,SMP,0.035842142501945166,0.10906230293944545
