Readability,Component,rho,p
n_sentences,Quality & Reliability,0.058172392624717184,0.009264787774060021
n_sentences,Accessibility & Understandability,-0.14945893104863447,1.8475315308310597e-11
n_sentences,Novelty & Engagement,0.18668128231743994,3.8453250223350824e-17
n_words,Quality & Reliability,-0.0739469567733287,0.0009347192524056994
n_words,Accessibility & Understandability,-0.2701262095987391,8.807583585829219e-35
n_words,Novelty & Engagement,0.3439636984030221,1.2121778024112187e-56
n_characters,Quality & Reliability,-0.08459617350149205,0.00015205941168210276
n_characters,Accessibility & Understandability,-0.2928014760455874,7.84947719242343e-41
n_characters,Novelty & Engagement,0.3804999959457949,6.540417694477603e-70
n_syllables,Quality & Reliability,-0.08662912816737418,0.00010486765472777365
n_syllables,Accessibility & Understandability,-0.2945890921709546,2.4754593635798123e-41
n_syllables,Novelty & Engagement,0.3707558563374167,3.3470400885562725e-66
n_polysyllables,Quality & Reliability,-0.07441523720221357,0.0008669376810137284
n_polysyllables,Accessibility & Understandability,-0.27604834279266416,2.6249850234309595e-36
n_polysyllables,Novelty & Engagement,0.33975081983221683,3.191164810399211e-55
ARI,Quality & Reliability,-0.12406983105840293,2.597238382709271e-08
ARI,Accessibility & Understandability,-0.12011168179363242,7.13592358290555e-08
ARI,Novelty & Engagement,0.16785499153382347,4.1668489114108946e-14
SMOG,Quality & Reliability,-0.11881604742860012,9.865697433614412e-08
SMOG,Accessibility & Understandability,-0.13230146846988805,2.865443409978442e-09
SMOG,Novelty & Engagement,0.13271587898856496,2.5550606606524413e-09
Flesch_Kincaid_Grade,Quality & Reliability,-0.1307842425944416,4.346854542993173e-09
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.12916141165587156,6.752793851019906e-09
Flesch_Kincaid_Grade,Novelty & Engagement,0.15239324693427506,7.332348019381946e-12
Flesch_Reading_Ease,Quality & Reliability,0.10206684883356594,4.792701326310839e-06
Flesch_Reading_Ease,Accessibility & Understandability,0.12956544276506096,6.054431646435509e-09
Flesch_Reading_Ease,Novelty & Engagement,-0.14675046140931225,4.266666372448374e-11
Coleman_Liau,Quality & Reliability,-0.05958820452692594,0.007685832961233299
Coleman_Liau,Accessibility & Understandability,-0.10849436931524394,1.1541899599574735e-06
Coleman_Liau,Novelty & Engagement,0.16530232837938444,1.0133149487954005e-13
Gunning_Fog,Quality & Reliability,-0.11458681851417743,2.7737270969499004e-07
Gunning_Fog,Accessibility & Understandability,-0.13057802831926132,4.598487023916993e-09
Gunning_Fog,Novelty & Engagement,0.1254818516286047,1.797106533791079e-08
