Readability,Component,rho,p
n_sentences,Quality & Reliability,0.0976492464783333,7.9118966973679e-07
n_sentences,Accessibility & Understandability,0.03753020756208015,0.05825091984832102
n_sentences,Novelty & Engagement,0.19124888320746342,2.0927392654832141e-22
n_words,Quality & Reliability,0.08618741998365753,1.3266542152278107e-05
n_words,Accessibility & Understandability,-0.0777921482579494,8.493570629673296e-05
n_words,Novelty & Engagement,0.25599972752783856,2.1348871272338016e-39
n_characters,Quality & Reliability,0.08750296217863023,9.761062091742279e-06
n_characters,Accessibility & Understandability,-0.09299796498610359,2.5852195124891136e-06
n_characters,Novelty & Engagement,0.28019956097314486,3.6547172304773068e-47
n_syllables,Quality & Reliability,0.08780022072717146,9.101757054761111e-06
n_syllables,Accessibility & Understandability,-0.10069864686231941,3.533835272549929e-07
n_syllables,Novelty & Engagement,0.277710051674623,2.5063132345958047e-46
n_polysyllables,Quality & Reliability,0.09668142050279861,1.0167975230385277e-06
n_polysyllables,Accessibility & Understandability,-0.11055399843312491,2.2210981056110338e-08
n_polysyllables,Novelty & Engagement,0.26531224777531776,2.7256747543272873e-42
ARI,Quality & Reliability,-0.04786278600718027,0.01570375269956762
ARI,Accessibility & Understandability,-0.12993681908451582,4.631317181960496e-11
ARI,Novelty & Engagement,0.06167815737895762,0.0018444519281712837
SMOG,Quality & Reliability,-0.022331166209221015,0.2599148810215574
SMOG,Accessibility & Understandability,-0.1368906101802293,3.980812806495693e-12
SMOG,Novelty & Engagement,0.059780828681125775,0.002542591337514929
Flesch_Kincaid_Grade,Quality & Reliability,-0.040781532047722814,0.03959008703402923
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.1430060460038858,4.1384011376959895e-13
Flesch_Kincaid_Grade,Novelty & Engagement,0.0608194719671496,0.002135134327117007
Flesch_Reading_Ease,Quality & Reliability,0.02209482616593828,0.2649934851015052
Flesch_Reading_Ease,Accessibility & Understandability,0.11821395580694441,2.176381321266094e-09
Flesch_Reading_Ease,Novelty & Engagement,-0.07839831885294062,7.47158265015422e-05
Coleman_Liau,Quality & Reliability,-0.012105919639239892,0.5414102992782579
Coleman_Liau,Accessibility & Understandability,-0.060092141828423325,0.002413567321491261
Coleman_Liau,Novelty & Engagement,0.08640667534807837,1.2608931203721478e-05
Gunning_Fog,Quality & Reliability,-0.018390462577462317,0.3535376547199416
Gunning_Fog,Accessibility & Understandability,-0.13666193542916583,4.324135556580606e-12
Gunning_Fog,Novelty & Engagement,0.06167064912148388,0.0018468278605053119
