No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,76.96,13.52,-0.224,0.934,-0.033
2,2. Haphazard,6.34,4.34,-0.926,0.084,0.006
3,3. Well-sourced,66.41,20.69,-0.025,0.604,0.366
4,4. Disengaging,15.06,8.29,-0.808,0.172,-0.178
5,5. Technical,90.66,15.12,-0.139,0.923,-0.071
6,6. Balanced,69.68,15.51,0.078,0.842,0.12
7,7. Superficial,13.15,8.82,-0.857,0.091,-0.103
8,8. Ethical,61.25,25.92,0.071,0.449,0.703
9,9. Concise,86.02,15.23,-0.105,0.953,-0.028
10,10. Unreliable,11.12,8.12,-0.854,0.091,-0.149
11,11. Innovative,85.61,15.5,-0.088,0.952,0.026
12,12. Subjective,20.33,12.55,-0.844,0.142,-0.135
13,13. Circumlocutory,16.73,12.74,-0.878,0.076,0.09
14,14. Rigorous,86.0,15.6,-0.022,0.953,0.049
15,15. Dull,10.37,7.58,-0.872,0.062,0.043
16,16. Replicable,81.55,15.37,0.019,0.94,0.084
17,17. Provocative,73.85,14.88,-0.055,0.903,0.083
18,18. Inaccessible,9.73,7.81,-0.812,0.071,0.057
19,19. Empirical,72.29,17.7,0.005,0.757,0.32
20,20. Coherent,88.11,15.59,-0.086,0.974,0.002
21,21. Poorly-sourced,7.02,6.17,-0.77,0.045,0.01
22,22. Impactful,87.2,15.67,-0.102,0.966,0.006
23,23. Nontechnical,12.72,8.61,-0.91,0.073,-0.063
24,24. Unstructured,12.93,11.14,-0.768,0.065,0.18
25,25. Engaging,81.35,14.51,-0.06,0.972,0.029
26,26. Narrow,26.54,15.17,-0.923,0.139,-0.049
27,27. Methodical,82.36,15.45,0.038,0.958,0.099
28,28. Unconvincing,14.15,9.2,-0.954,0.089,-0.025
29,29. Exciting,79.3,15.43,-0.146,0.911,0.012
30,30. Speculation-driven,12.34,9.16,-0.875,0.078,0.025
31,31. Relevant,89.12,15.59,-0.11,0.982,-0.002
32,32. Lax,13.25,10.27,-0.762,0.081,-0.054
33,33. Well written,91.01,15.61,-0.165,0.973,-0.054
34,34. Hypothesis-driven,77.41,15.81,-0.143,0.849,0.063
35,35. Inconsequential,12.69,8.54,-0.952,0.09,0.027
36,36. Accessible,86.17,15.29,-0.065,0.977,0.026
37,37. Authoritative,87.45,16.11,-0.066,0.957,0.095
38,38. Not well written,7.11,4.92,-0.921,0.06,0.034
39,39. Interdisciplinary,68.06,19.5,-0.159,0.653,0.362
40,40. Easy to understand,89.67,15.73,-0.147,0.969,-0.018
41,41. Original,86.99,15.58,-0.12,0.963,-0.008
42,42. Unbalanced,23.71,14.62,-0.917,0.108,-0.02
43,43. Comprehensive,86.99,15.83,-0.07,0.968,0.066
44,44. Verbose,18.6,14.24,-0.851,0.065,0.095
45,45. Conventional,14.95,10.71,-0.819,0.096,-0.12
46,46. To the point,91.15,15.62,-0.157,0.975,-0.054
47,47. Unprovocative,13.23,8.7,-0.96,0.092,0.014
48,48. Structured,86.37,15.53,-0.028,0.982,0.027
49,49. Difficult to understand,9.01,6.96,-0.842,0.057,0.062
50,50. Irrelevant,12.75,8.64,-0.933,0.098,0.025
51,51. Controversial,22.81,19.81,-0.748,0.091,0.114
52,52. Non-replicable,11.97,8.37,-0.928,0.082,0.01
53,53. Objective,82.33,16.3,0.048,0.913,0.124
54,54. Derivative,15.15,10.45,-0.849,0.101,-0.117
55,55. Unethical,6.56,5.17,-0.863,0.055,0.086
56,56. Persuasive,88.39,15.77,-0.111,0.972,-0.006
57,57. Incoherent,12.22,8.48,-0.939,0.078,0.01
58,58. Uninsightful,12.06,8.5,-0.903,0.088,0.06
59,59. Theoretical,73.85,18.25,-0.089,0.751,0.038
60,60. Exciting,79.26,15.49,-0.145,0.908,0.011
