Readability,Component,rho,p
n_sentences,Quality & Reliability,0.11002050014635266,5.277957500199403e-06
n_sentences,Accessibility & Understandability,0.031286994254523186,0.19661349169110223
n_sentences,Novelty & Engagement,0.19746298090671494,1.8919217804094865e-16
n_words,Quality & Reliability,0.1005401195294575,3.196941833849062e-05
n_words,Accessibility & Understandability,-0.08828102773001571,0.0002625230712333739
n_words,Novelty & Engagement,0.25439439788943286,1.3656769280409687e-26
n_characters,Quality & Reliability,0.10367870795388225,1.790847313338931e-05
n_characters,Accessibility & Understandability,-0.11612984546003484,1.5248520122366631e-06
n_characters,Novelty & Engagement,0.26439106750481545,1.1551557568109883e-28
n_syllables,Quality & Reliability,0.10497421013953283,1.4030468368322465e-05
n_syllables,Accessibility & Understandability,-0.12654230033785818,1.5850625048116888e-07
n_syllables,Novelty & Engagement,0.2602602848667602,8.512169399623271e-28
n_polysyllables,Quality & Reliability,0.11765321529107586,1.107769040222424e-06
n_polysyllables,Accessibility & Understandability,-0.15533466890221914,1.1296394622696145e-10
n_polysyllables,Novelty & Engagement,0.2321474365875339,2.688391689161567e-22
ARI,Quality & Reliability,-0.046819529813609755,0.053248813086979735
ARI,Accessibility & Understandability,-0.15409426803676313,1.5910549860303677e-10
ARI,Novelty & Engagement,0.012387253675475622,0.609256823939204
SMOG,Quality & Reliability,-0.019392229001051323,0.42358042207176705
SMOG,Accessibility & Understandability,-0.16764135575231137,3.2500062135852465e-12
SMOG,Novelty & Engagement,0.008394378057267912,0.7290649819391001
Flesch_Kincaid_Grade,Quality & Reliability,-0.03928953649310946,0.10485345982436026
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.17535175390939012,3.0579800299947643e-13
Flesch_Kincaid_Grade,Novelty & Engagement,0.009651822714527391,0.6904410216595436
Flesch_Reading_Ease,Quality & Reliability,0.019700901477007707,0.41623815838161093
Flesch_Reading_Ease,Accessibility & Understandability,0.1700893681146025,1.5527773955135825e-12
Flesch_Reading_Ease,Novelty & Engagement,-0.018102669936756258,0.4550623275855181
Coleman_Liau,Quality & Reliability,-0.006494588254199866,0.7887159534457858
Coleman_Liau,Accessibility & Understandability,-0.11021518106350109,5.078189400490642e-06
Coleman_Liau,Novelty & Engagement,0.022733824362657667,0.3481674230422497
Gunning_Fog,Quality & Reliability,-0.019541413843675727,0.42002241239280613
Gunning_Fog,Accessibility & Understandability,-0.17332402973876349,5.75386580932817e-13
Gunning_Fog,Novelty & Engagement,0.00673130674204204,0.7812073179304001
