No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,76.46,14.59,-0.229,0.938,-0.028
2,2. Haphazard,6.15,4.42,-0.933,0.086,0.017
3,3. Well-sourced,65.71,21.33,-0.016,0.63,0.26
4,4. Disengaging,14.84,8.43,-0.793,0.186,-0.229
5,5. Technical,90.19,16.31,-0.144,0.923,-0.049
6,6. Balanced,68.84,16.09,0.072,0.866,0.074
7,7. Superficial,12.84,8.88,-0.862,0.101,-0.125
8,8. Ethical,59.0,26.5,0.05,0.458,0.7
9,9. Concise,85.42,16.38,-0.111,0.959,-0.032
10,10. Unreliable,10.79,8.23,-0.862,0.093,-0.133
11,11. Innovative,84.73,16.56,-0.097,0.958,0.03
12,12. Subjective,19.72,12.41,-0.848,0.152,-0.188
13,13. Circumlocutory,16.02,12.8,-0.881,0.078,0.124
14,14. Rigorous,85.57,16.81,-0.033,0.959,0.033
15,15. Dull,10.01,7.66,-0.877,0.07,0.02
16,16. Replicable,81.07,16.41,-0.001,0.95,0.069
17,17. Provocative,72.95,15.53,-0.056,0.92,0.055
18,18. Inaccessible,9.51,7.93,-0.828,0.071,0.122
19,19. Empirical,71.41,18.48,-0.001,0.775,0.234
20,20. Coherent,87.33,16.8,-0.085,0.977,-0.01
21,21. Poorly-sourced,6.74,6.06,-0.79,0.05,0.031
22,22. Impactful,86.5,16.87,-0.108,0.967,0.01
23,23. Nontechnical,12.35,8.71,-0.921,0.076,-0.075
24,24. Unstructured,12.46,11.03,-0.777,0.073,0.238
25,25. Engaging,80.66,15.61,-0.066,0.975,0.031
26,26. Narrow,25.95,15.36,-0.921,0.151,-0.074
27,27. Methodical,81.78,16.56,0.031,0.965,0.078
28,28. Unconvincing,13.71,9.4,-0.957,0.09,-0.019
29,29. Exciting,78.53,16.27,-0.148,0.923,0.005
30,30. Speculation-driven,11.81,9.03,-0.891,0.082,0.015
31,31. Relevant,88.42,16.84,-0.115,0.983,-0.008
32,32. Lax,13.1,10.79,-0.753,0.081,-0.068
33,33. Well written,90.43,16.92,-0.17,0.973,-0.047
34,34. Hypothesis-driven,77.31,16.28,-0.133,0.89,0.056
35,35. Inconsequential,12.29,8.7,-0.954,0.094,0.023
36,36. Accessible,85.53,16.49,-0.073,0.979,0.015
37,37. Authoritative,86.66,17.29,-0.07,0.962,0.075
38,38. Not well written,6.9,5.04,-0.925,0.062,0.055
39,39. Interdisciplinary,66.63,20.33,-0.154,0.664,0.273
40,40. Easy to understand,88.94,17.0,-0.147,0.971,-0.022
41,41. Original,86.28,16.74,-0.127,0.965,-0.0
42,42. Unbalanced,23.1,14.75,-0.913,0.118,-0.048
43,43. Comprehensive,86.13,16.99,-0.07,0.973,0.045
44,44. Verbose,17.6,13.73,-0.873,0.072,0.091
45,45. Conventional,14.45,10.71,-0.834,0.098,-0.171
46,46. To the point,90.57,16.94,-0.163,0.975,-0.045
47,47. Unprovocative,12.81,8.88,-0.962,0.095,0.012
48,48. Structured,85.67,16.71,-0.036,0.984,0.013
49,49. Difficult to understand,8.85,7.14,-0.853,0.06,0.115
50,50. Irrelevant,12.33,8.79,-0.936,0.102,0.019
51,51. Controversial,21.74,19.34,-0.764,0.101,0.074
52,52. Non-replicable,11.56,8.5,-0.934,0.083,0.016
53,53. Objective,81.68,17.17,0.041,0.935,0.085
54,54. Derivative,14.65,10.63,-0.848,0.103,-0.169
55,55. Unethical,6.31,5.26,-0.868,0.055,0.13
56,56. Persuasive,87.75,17.0,-0.113,0.975,0.0
57,57. Incoherent,11.86,8.64,-0.942,0.08,0.033
58,58. Uninsightful,11.56,8.54,-0.912,0.091,0.049
59,59. Theoretical,73.68,18.5,-0.067,0.796,0.083
60,60. Exciting,78.52,16.32,-0.149,0.921,0.003
